Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	calcium ion transmembrane transport (GO:0070588)	16/87	5.201377e-19	7.828073e-16	0	0	3.780377e+01	1.591546e+03	SLC24A2;SLC24A4;TRPC6;TRPC3;TRPC4;CACNA2D1;TRPC1;ATP2B3;PKD2;NALCN;GRIN2B;CACNA1G;P2RX7;SLC8A3;MICU3;TRPM3
GO_Biological_Process_2021	calcium ion transport (GO:0006816)	16/115	5.626643e-17	4.234049e-14	0	0	2.707345e+01	1.012992e+03	SLC24A2;CASR;SLC24A4;TRPC6;TRPC3;TRPC4;CACNA2D1;TRPC1;CAMK2A;PKD2;NALCN;CACNA1G;P2RX7;SLC8A3;CCL5;TRPM3
GO_Biological_Process_2021	positive regulation of T cell activation (GO:0050870)	12/75	9.041299e-14	4.535718e-11	0	0	3.091803e+01	9.286042e+02	IL6;VCAM1;CD40LG;CCL5;HLA-DPB1;IL12B;RHOH;CCL2;PRKCQ;NCKAP1L;CD3E;HLA-DPA1
GO_Biological_Process_2021	cytokine-mediated signaling pathway (GO:0019221)	25/621	4.640466e-13	1.745976e-10	0	0	7.415646e+00	2.105954e+02	CSF2;CAMK2A;FASLG;PIK3R1;FOXO1;H3C13;CCL5;IL12B;CCL2;LBP;CD36;HLA-DQA2;HLA-DQA1;HLA-DPA1;VCAM1;RSAD2;IL1R1;CXCL10;FCER2;IL6;CD40LG;BCL2;LTA;HLA-DPB1;HLA-DRA
GO_Biological_Process_2021	cellular response to cytokine stimulus (GO:0071345)	21/482	9.651788e-12	2.905188e-09	0	0	7.822644e+00	1.984126e+02	GBP5;VCAM1;CSF2;IL1R1;LEF1;FASLG;PIK3R1;FOXO1;CXCL10;FCER2;IL6;NLRP12;CCL5;BCL2;IL12B;HCLS1;CCL2;LBP;CD36;TLR4;HLA-DPA1
GO_Biological_Process_2021	antigen receptor-mediated signaling pathway (GO:0050851)	14/185	2.657233e-11	6.665225e-09	0	0	1.343713e+01	3.272097e+02	CD3G;PIK3R1;CD3E;CD3D;CD19;BTK;BCL2;HLA-DPB1;HLA-DRA;NCKAP1L;PRKCQ;HLA-DQA2;HLA-DQA1;HLA-DPA1
GO_Biological_Process_2021	positive regulation of lymphocyte proliferation (GO:0050671)	10/75	7.431609e-11	1.597796e-08	0	0	2.456700e+01	5.729686e+02	IL6;VCAM1;CD40LG;CCL5;BCL2;HLA-DPB1;IL12B;NCKAP1L;CD3E;HLA-DPA1
GO_Biological_Process_2021	cellular calcium ion homeostasis (GO:0006874)	12/136	1.243358e-10	2.339068e-08	0	0	1.565997e+01	3.571731e+02	SLC24A2;SLC8A3;CASR;SLC24A4;TRPC6;TRPC3;TRPC4;TRPC1;CCL5;BCL2;ATP2B3;MICU3
GO_Biological_Process_2021	protein ubiquitination (GO:0016567)	20/525	3.388066e-10	5.665600e-08	0	0	6.726073e+00	1.466660e+02	TRIM61;MARCHF1;H2BC3;UBE2E2;ASB11;KLHL13;MEFV;FBXL22;RNF144A;CAND2;RNF112;SPSB1;ASB9;HECW1;BCL2;ASB2;PDZRN3;KBTBD8;FBXL7;SPSB4
GO_Biological_Process_2021	inflammatory response (GO:0006954)	14/230	4.805290e-10	6.433457e-08	0	0	1.061343e+01	2.277231e+02	F2R;CYBB;MEFV;ITGAL;SELE;PIK3CG;CXCL10;IL6;CD40LG;CCL5;NLRP3;CCL2;OLR1;TLR4
GO_Biological_Process_2021	leukocyte cell-cell adhesion (GO:0007159)	7/28	5.448185e-10	6.433457e-08	0	0	5.208661e+01	1.111037e+03	SELP;VCAM1;CD40LG;CCL5;OLR1;ITGAL;SELE
GO_Biological_Process_2021	cellular response to interferon-gamma (GO:0071346)	11/121	5.503264e-10	6.433457e-08	0	0	1.606179e+01	3.424455e+02	GBP5;VCAM1;CCL5;CAMK2A;HLA-DPB1;HLA-DRA;CCL2;HLA-DQA2;TLR4;HLA-DQA1;HLA-DPA1
GO_Biological_Process_2021	positive regulation of T cell proliferation (GO:0042102)	9/66	5.557139e-10	6.433457e-08	0	0	2.502189e+01	5.332358e+02	IL6;VCAM1;CD40LG;CCL5;HLA-DPB1;IL12B;NCKAP1L;CD3E;HLA-DPA1
GO_Biological_Process_2021	regulation of T cell proliferation (GO:0042129)	9/76	2.021712e-09	2.173340e-07	0	0	2.127654e+01	4.259418e+02	IL6;VCAM1;CD40LG;CCL5;HLA-DPB1;IL12B;NCKAP1L;CD3E;HLA-DPA1
GO_Biological_Process_2021	positive regulation of lymphocyte activation (GO:0051251)	7/35	2.976016e-09	2.985936e-07	0	0	3.905118e+01	7.666794e+02	IL6;HLA-DPB1;CCL2;IL12B;NCKAP1L;PRKCQ;HLA-DPA1
GO_Biological_Process_2021	regulation of interleukin-1 beta production (GO:0032651)	9/83	4.483982e-09	3.977097e-07	0	0	1.925708e+01	3.701741e+02	P2RX7;GBP5;IL6;NLRP12;F2R;NLRP3;CD36;MEFV;TLR4
GO_Biological_Process_2021	positive regulation of calcium ion transport (GO:0051928)	7/37	4.505973e-09	3.977097e-07	0	0	3.644409e+01	7.003776e+02	P2RX7;TRPC6;TRPC3;CCL5;CAMK2A;F2R;CCL2
GO_Biological_Process_2021	regulation of calcium ion transport (GO:0051924)	8/58	4.756660e-09	3.977097e-07	0	0	2.516317e+01	4.822200e+02	CASR;TRPC6;CACNA2D1;CCL5;F2R;CAMK2A;BCL2;PKD2
GO_Biological_Process_2021	positive regulation of cytokine production (GO:0001819)	14/335	5.838802e-08	4.624946e-06	0	0	7.103583e+00	1.183184e+02	GBP5;CSF2;IL1R1;F2R;PIK3CG;IL6;CD40LG;HLA-DPB1;NLRP3;IL12B;PRKCQ;LBP;TLR4;HLA-DPA1
GO_Biological_Process_2021	response to lipid (GO:0033993)	9/114	7.425170e-08	5.587441e-06	0	0	1.355040e+01	2.224407e+02	SELP;F2R;LY96;CD36;LBP;SELE;TLR4;RXRG;FOXO1
GO_Biological_Process_2021	positive regulation of interleukin-1 beta production (GO:0032731)	7/56	9.132482e-08	6.373598e-06	0	0	2.229134e+01	3.613168e+02	P2RX7;GBP5;IL6;NLRP12;NLRP3;CD36;TLR4
GO_Biological_Process_2021	positive regulation of calcium ion transport into cytosol (GO:0010524)	6/34	9.316887e-08	6.373598e-06	0	0	3.321094e+01	5.376470e+02	P2RX7;CXCL10;TRPC3;CD19;TRPC1;F2R
GO_Biological_Process_2021	T cell receptor signaling pathway (GO:0050852)	10/158	1.120529e-07	7.332158e-06	0	0	1.074433e+01	1.719555e+02	HLA-DPB1;HLA-DRA;PRKCQ;CD3G;PIK3R1;CD3E;CD3D;HLA-DQA2;HLA-DQA1;HLA-DPA1
GO_Biological_Process_2021	response to lipopolysaccharide (GO:0032496)	10/159	1.188995e-07	7.455992e-06	0	0	1.067168e+01	1.701598e+02	SELP;CXCL10;IL6;F2R;NLRP3;LY96;CCL2;LBP;SELE;TLR4
GO_Biological_Process_2021	metal ion transport (GO:0030001)	8/88	1.348160e-07	8.115924e-06	0	0	1.570317e+01	2.484141e+02	SLC8A3;TRPC3;TRPC4;CACNA2D1;TRPC1;CCL5;CAMK2A;PKD2
GO_Biological_Process_2021	positive regulation of interleukin-1 production (GO:0032732)	7/62	1.873082e-07	1.084226e-05	0	0	1.985354e+01	3.075415e+02	P2RX7;GBP5;IL6;NLRP12;NLRP3;CD36;TLR4
GO_Biological_Process_2021	inorganic cation transmembrane transport (GO:0098662)	12/274	3.286994e-07	1.771656e-05	0	0	7.359780e+00	1.098677e+02	P2RX7;SLC24A2;SLC8A3;SLC24A4;TRPC6;TRPC3;TRPC4;TRPC1;PKD2;NALCN;TRPM3;CACNA1G
