Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Lipid and atherosclerosis	25/215	4.723639e-24	9.777933e-22	0	0	2.375181e+01	1.275697e+03	NCF2;CAMK2A;LY96;FASLG;PIK3R1;CCL5;AKT3;NLRP3;IL12B;CCL2;OLR1;LBP;CD36;RXRG;VCAM1;CYBB;NFATC1;SELE;MAPK10;SELP;IL6;CD40LG;CYP1A1;BCL2;TLR4
KEGG_2021_Human	Pathogenic Escherichia coli infection	22/197	7.491875e-21	7.754091e-19	0	0	2.210214e+01	1.024224e+03	IL1R1;WIPF1;F2R;LPAR1;MYO5A;FASLG;LPAR4;CLDN2;TUBB4A;MAPK10;CLDN11;CLDN22;CLDN10;IL6;FCGR2A;TUBA1A;NLRP3;HCLS1;NCKAP1L;WASF1;MYH10;TLR4
KEGG_2021_Human	Epstein-Barr virus infection	22/202	1.305906e-20	9.010751e-19	0	0	2.148274e+01	9.835830e+02	ENTPD1;CD3G;PIK3R1;CD3E;ITGAL;RUNX3;CD3D;MAPK10;CXCL10;CCNA1;FCER2;IL6;CD19;AKT3;BTK;BCL2;HLA-DPB1;HLA-DRA;HLA-DOA;HLA-DQA2;HLA-DQA1;HLA-DPA1
KEGG_2021_Human	Hematopoietic cell lineage	17/99	1.348837e-19	6.980232e-18	0	0	3.505608e+01	1.523182e+03	CSF2;IL1R1;ITGB3;CD3G;CD3E;CD3D;FCER2;IL6;CD19;HLA-DPB1;HLA-DRA;CD36;ITGA5;HLA-DOA;HLA-DQA2;HLA-DQA1;HLA-DPA1
KEGG_2021_Human	Influenza A	20/172	2.197934e-19	9.099445e-18	0	0	2.275392e+01	9.775450e+02	TPSB2;RSAD2;FASLG;PIK3R1;CXCL10;IL6;CCL5;AKT3;HLA-DPB1;NLRP3;IL12B;HLA-DRA;CCL2;CPSF4L;HLA-DOA;TPSAB1;TLR4;HLA-DQA2;HLA-DQA1;HLA-DPA1
KEGG_2021_Human	Herpes simplex virus 1 infection	28/498	2.900686e-18	1.000737e-16	0	0	1.090100e+01	4.401998e+02	ZNF154;ZNF471;ITGB3;FASLG;PIK3R1;ZFP82;CCL5;AKT3;IL12B;CCL2;ZNF667;HLA-DOA;HLA-DQA2;HLA-DQA1;HLA-DPA1;ZIK1;ZNF382;ZFP92;IL6;ZNF418;BCL2;LTA;HLA-DPB1;HLA-DRA;ZNF677;ITGA5;ZNF135;ZNF354C
KEGG_2021_Human	Salmonella infection	21/249	2.139972e-17	6.328204e-16	0	0	1.600675e+01	6.143897e+02	ARHGEF26;LEF1;RHOH;LY96;TUBB4A;PIK3CG;MAPK10;IL6;TUBA1A;KIF5C;KIF5A;AKT3;RHOJ;BCL2;MYL10;NLRP3;NCKAP1L;FLNC;MYL9;TLR4;RAB9B
KEGG_2021_Human	Human T-cell leukemia virus 1 infection	19/219	4.717266e-16	1.135202e-14	0	0	1.624583e+01	5.733173e+02	CSF2;IL1R1;NFATC1;CD3G;PIK3R1;CD3E;ITGAL;CD3D;MAPK10;CCNA1;IL6;AKT3;LTA;HLA-DPB1;HLA-DRA;HLA-DOA;HLA-DQA2;HLA-DQA1;HLA-DPA1
KEGG_2021_Human	Th17 cell differentiation	15/107	4.935662e-16	1.135202e-14	0	0	2.709262e+01	9.548760e+02	IL1R1;NFATC1;CD3G;CD3E;CD3D;MAPK10;IL6;HLA-DPB1;HLA-DRA;PRKCQ;HLA-DOA;HLA-DQA2;RXRG;HLA-DQA1;HLA-DPA1
KEGG_2021_Human	Th1 and Th2 cell differentiation	14/92	1.483327e-15	3.070488e-14	0	0	2.959744e+01	1.010589e+03	CD3G;NFATC1;CD3E;CD3D;RUNX3;MAPK10;HLA-DPB1;IL12B;HLA-DRA;PRKCQ;HLA-DOA;HLA-DQA2;HLA-DQA1;HLA-DPA1
KEGG_2021_Human	Shigellosis	19/246	4.051639e-15	7.624447e-14	0	0	1.429385e+01	4.736933e+02	CSF2;IL1R1;PIK3R1;FOXO1;MAPK10;H3-5;H3C13;CCL5;AKT3;BCL2;MYL10;NLRP3;HCLS1;PRKCQ;ITGA5;WASF1;MYL9;TLR4;H3C7
KEGG_2021_Human	Phagosome	16/152	5.232269e-15	9.025664e-14	0	0	1.967099e+01	6.468594e+02	NCF2;ITGB3;CYBB;TUBB4A;FCGR2A;TUBA1A;HLA-DPB1;HLA-DRA;OLR1;ITGA5;CD36;HLA-DOA;TLR4;HLA-DQA2;HLA-DQA1;HLA-DPA1
KEGG_2021_Human	Toxoplasmosis	14/112	2.527606e-14	4.024727e-13	0	0	2.353333e+01	7.368032e+02	LY96;PIK3CG;MAPK10;CD40LG;AKT3;BCL2;HLA-DPB1;IL12B;HLA-DRA;HLA-DOA;HLA-DQA2;TLR4;HLA-DQA1;HLA-DPA1
KEGG_2021_Human	Cell adhesion molecules	15/148	6.835643e-14	1.010699e-12	0	0	1.870190e+01	5.669302e+02	VCAM1;CLDN2;ITGAL;SELE;SELP;CLDN11;CLDN22;CLDN10;CD40LG;HLA-DPB1;HLA-DRA;HLA-DOA;HLA-DQA2;HLA-DQA1;HLA-DPA1
KEGG_2021_Human	Tuberculosis	15/180	1.230757e-12	1.624892e-11	0	0	1.505042e+01	4.127336e+02	CAMK2A;MAPK10;IL6;FCGR2A;AKT3;BCL2;HLA-DPB1;IL12B;HLA-DRA;LBP;HLA-DOA;TLR4;HLA-DQA2;HLA-DQA1;HLA-DPA1
KEGG_2021_Human	Rheumatoid arthritis	12/93	1.302319e-12	1.624892e-11	0	0	2.402550e+01	6.575029e+02	IL6;CSF2;CCL5;HLA-DPB1;CCL2;HLA-DRA;ITGAL;HLA-DOA;TLR4;HLA-DQA2;HLA-DQA1;HLA-DPA1
KEGG_2021_Human	NOD-like receptor signaling pathway	15/181	1.334452e-12	1.624892e-11	0	0	1.495900e+01	4.090163e+02	GBP5;CASR;CYBB;MEFV;ANTXR1;MAPK10;P2RX7;IL6;NLRP12;CASP12;CCL5;BCL2;NLRP3;CCL2;TLR4
KEGG_2021_Human	Allograft rejection	9/38	2.865748e-12	3.295610e-11	0	0	4.925048e+01	1.308989e+03	CD40LG;HLA-DPB1;IL12B;HLA-DRA;FASLG;HLA-DOA;HLA-DQA2;HLA-DQA1;HLA-DPA1
