Feature,Importance,Percentage
Gene_ACTA2,0.1421249,14.212491
Gene_BOC,0.10068201,10.068201
Gene_PDLIM3,0.059421882,5.9421883
Gene_INMT,0.051832806,5.1832805
Gene_RNF150,0.045737974,4.573797
Gene_MGP,0.04469295,4.469295
Gene_CDO1,0.04283398,4.283398
Gene_RSPO3,0.03202574,3.202574
Gene_CLIP3,0.022190055,2.2190056
Gene_HAND2,0.017692817,1.7692817
Gene_PABPC4L,0.015979636,1.5979637
Gene_PDZD4,0.0146298045,1.4629805
Gene_STON1,0.013582934,1.3582934
Gene_IGFBP7,0.013377507,1.3377507
Gene_PRELP,0.011922001,1.1922001
Gene_KCNE4,0.011209399,1.12094
Gene_CRYAB,0.010834049,1.0834049
Gene_SSPN,0.01082614,1.082614
Gene_FHL1,0.008869339,0.88693386
Gene_OMD,0.0087170405,0.87170404
Gene_COPZ2,0.008485221,0.8485221
Gene_FLNA,0.008222978,0.82229775
Gene_TGFB1I1,0.0081951795,0.81951797
Gene_MFAP5,0.008021214,0.8021214
Gene_ASPN,0.006664634,0.66646343
Gene_SCRG1,0.0065198736,0.6519874
Gene_PABPC5,0.005930276,0.5930276
Gene_HSPB7,0.0058313697,0.583137
Gene_ADGRB3,0.0058278954,0.58278954
Gene_MYL9,0.0056039016,0.5603902
Gene_EMILIN1,0.0055393674,0.5539367
Gene_GHR,0.004933993,0.4933993
Gene_TCEAL7,0.0047837794,0.47837794
Gene_IGF1,0.004628495,0.4628495
Gene_PTGER3,0.004520974,0.45209742
Gene_PYGM,0.0038965386,0.38965386
Gene_GGT5,0.0037523382,0.37523383
Gene_NECAB1,0.0036009627,0.36009628
Gene_C14orf132,0.0035725422,0.3572542
Gene_SERPING1,0.003283408,0.3283408
Gene_MIR99AHG,0.0029541699,0.29541698
Gene_NAP1L3,0.0,0.0
Gene_MAGI2-AS3,0.0,0.0
Gene_FLRT2,0.0,0.0
Gene_TCEAL2,0.0,0.0
Gene_COL14A1,0.0,0.0
Gene_PRKD1,0.0,0.0
Gene_OLFML1,0.0,0.0
Gene_LAMA2,0.0,0.0
Gene_LINC01140,0.0,0.0
Gene_TWIST2,0.0,0.0
Gene_NR2F1-AS1,0.0,0.0
Gene_ARHGEF25,0.0,0.0
Gene_DNM3OS,0.0,0.0
Gene_CARMN,0.0,0.0
Gene_C8orf88,0.0,0.0
Gene_CPEB1,0.0,0.0
Gene_FXYD1,0.0,0.0
Gene_LAYN,0.0,0.0
Gene_FAM180A,0.0,0.0
Gene_GPRASP1,0.0,0.0
Gene_PLN,0.0,0.0
Gene_DACT3,0.0,0.0
Gene_KANK2,0.0,0.0
Gene_HAND2-AS1,0.0,0.0
Gene_HSPB6,0.0,0.0
Gene_LHFPL6,0.0,0.0
Gene_BNC2,0.0,0.0
Gene_FBXL7,0.0,0.0
Gene_BICC1,0.0,0.0
Gene_DPYSL3,0.0,0.0
Gene_PDE1A,0.0,0.0
Gene_EFEMP1,0.0,0.0
Gene_ANGPTL1,0.0,0.0
Gene_AKT3,0.0,0.0
Gene_CASQ2,0.0,0.0
Gene_CNRIP1,0.0,0.0
Gene_PLXDC2,0.0,0.0
Gene_ENOX1,0.0,0.0
Gene_GLT8D2,0.0,0.0
Gene_TSHZ3,0.0,0.0
Gene_KCNJ8,0.0,0.0
Gene_CPXM2,0.0,0.0
Gene_CALD1,0.0,0.0
Gene_PTGIS,0.0,0.0
Gene_FXYD6,0.0,0.0
Gene_TMEM35A,0.0,0.0
Gene_FOXP2,0.0,0.0
Gene_ISLR,0.0,0.0
Gene_CNN1,0.0,0.0
Gene_LRCH2,0.0,0.0
Gene_AOC3,0.0,0.0
Gene_SERPINF1,0.0,0.0
Gene_BHMT2,0.0,0.0
Gene_DCLK1,0.0,0.0
Gene_MYH11,0.0,0.0
Gene_TSPAN2,0.0,0.0
Gene_RERG,0.0,0.0
Gene_SCN7A,0.0,0.0
Gene_GYPC,0.0,0.0
Gene_THBS4,0.0,0.0
Gene_NRXN2,0.0,0.0
Gene_SOD3,0.0,0.0
Gene_CPE,0.0,0.0
Gene_DCN,0.0,0.0
Gene_ATP1A2,0.0,0.0
Gene_LTBP1,0.0,0.0
Gene_CHRDL2,0.0,0.0
Gene_GUCY1B1,0.0,0.0
Gene_NGFR,0.0,0.0
Gene_MYLK,0.0,0.0
Gene_ABCC9,0.0,0.0
Gene_LIMS2,0.0,0.0
Gene_IRAG1,0.0,0.0
Gene_FERMT2,0.0,0.0
Gene_RUNX1T1,0.0,0.0
Gene_TNS1,0.0,0.0
Gene_MOXD1,0.0,0.0
Gene_GNAO1,0.0,0.0
Gene_CCDC80,0.0,0.0
Gene_ISM1,0.0,0.0
Gene_CHRDL1,0.0,0.0
Gene_SRPX,0.0,0.0
Gene_SFRP1,0.0,0.0
Gene_GRIK5,0.0,0.0
Gene_SFRP4,0.0,0.0
Gene_MEOX2,0.0,0.0
Gene_GLI3,0.0,0.0
Gene_OGN,0.0,0.0
Gene_ECM2,0.0,0.0
Gene_MPDZ,0.0,0.0
Gene_SGCA,0.0,0.0
Gene_MAPK10,0.0,0.0
Gene_DNAJB5,0.0,0.0
Gene_ARHGAP20,0.0,0.0
Gene_NDN,0.0,0.0
Gene_COL8A2,0.0,0.0
Gene_ZCCHC24,0.0,0.0
Gene_PKNOX2,0.0,0.0
Gene_VSTM4,0.0,0.0
Gene_PDZRN4,0.0,0.0
Gene_JAM3,0.0,0.0
Gene_MFAP4,0.0,0.0
Gene_GREM1,0.0,0.0
Gene_MAP1A,0.0,0.0
Gene_TUBA1A,0.0,0.0
Gene_AR,0.0,0.0
Gene_ZFPM2,0.0,0.0
Gene_DCLK2,0.0,0.0
Gene_SGCD,0.0,0.0
Gene_MAP6,0.0,0.0
Gene_CSDC2,0.0,0.0
Gene_CYP1B1,0.0,0.0
Gene_SYNPO2,0.0,0.0
Gene_EFEMP2,0.0,0.0
Gene_MRGPRF,0.0,0.0
Gene_MSRB3,0.0,0.0
Gene_PODN,0.0,0.0
Gene_ZNF135,0.0,0.0
Gene_CAVIN1,0.0,0.0
Gene_ZNF454,0.0,0.0
Gene_SSC5D,0.0,0.0
Gene_ACTA2-AS1,0.0,0.0
Gene_GAS1,0.0,0.0
Gene_RGMA,0.0,0.0
Gene_C1S,0.0,0.0
Gene_NXPH3,0.0,0.0
Gene_GUCY1A1,0.0,0.0
Gene_LMOD1,0.0,0.0
Gene_DDR2,0.0,0.0
Gene_NEXN,0.0,0.0
Gene_PCDH10,0.0,0.0
Gene_PRICKLE1,0.0,0.0
Gene_FBLN5,0.0,0.0
Gene_FGF7,0.0,0.0
Gene_IGFBP4,0.0,0.0
Gene_HMCN1,0.0,0.0
Gene_RBMS3,0.0,0.0
Gene_COL8A1,0.0,0.0
Gene_SLIT2,0.0,0.0
Gene_ANK2,0.0,0.0
Gene_SFRP2,0.0,0.0
Gene_C1QTNF2,0.0,0.0
Gene_KCNMB1,0.0,0.0
Gene_TMEM47,0.0,0.0
Gene_ZEB1,0.0,0.0
Gene_ADAM33,0.0,0.0
Gene_SCN2B,0.0,0.0
Gene_TAGLN,0.0,0.0
Gene_JPH2,0.0,0.0
Gene_VEGFC,0.0,0.0
Gene_HSPB8,0.0,0.0
Gene_SPARCL1,0.0,0.0
Gene_ABCA6,0.0,0.0
Gene_PGM5,0.0,0.0
Gene_JAM2,0.0,0.0
Gene_KCNMA1,0.0,0.0
Gene_C1R,0.0,0.0
Gene_COX7A1,0.0,0.0
Gene_SYNC,0.0,0.0
