Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	extracellular matrix organization (GO:0030198)	6.126229e-02	9.911692e-01	0	0	inf	inf	VIT;SPARC;COL12A1;SERPINE1;TNC;PLOD2;FGF2;COMP;CYP1B1;TNR;POSTN;ADAM19;LOX;COL4A1;COL4A4;ADAM12;COL8A2;COL4A6;COL8A1;COL4A5;FBN2;KLK5;HTRA1;KLK4;DPT;ADAMTS12;NID1;NID2;FBLN5;ADAMTS16;ADAMTS15;SCUBE3;FLRT2;ADAMTS18;GPM6B;TGFB2;VCAM1;COL24A1;FN1;COL1A1;COL1A2;COL5A1;P4HA3;COL5A2;ITGA11;FBN1;ECM2;COL14A1;ELN;ITGB3;ITGAL;MMP21;ADAMTSL1;ADAMTS4;ADAMTS5;ADAMTS2;ADAMTS3;ADAMTS1;ADAMTSL3;CTSK;TIMP2;COL10A1;CTSG;TPSAB1;ADAMTS8;MMP7;ITGA4;COL25A1;MMP2;ITGA1;DCN;GREM1;VCAN;MMP13;MMP16;ITGAD;COL6A2;MMP17;PXDN;ITGA8;PECAM1;COL21A1;MMP19;COL6A3;ITGA5;MATN3;DDR2;ITGA9;COL15A1;LAMA2;COL11A1;PAPLN;NDNF;THBS1;COL19A1;HAS1;HAS2;JAM2;JAM3;CMA1;LUM;MFAP5;SMOC2;COL3A1;MFAP2;TLL1;RECK
GO_Biological_Process_2021	negative regulation of cellular process (GO:0048523)	9.113026e-02	9.911692e-01	0	0	inf	inf	SEMA5A;TENM1;RIPOR2;ATP8A2;FHL1;SIRPG;HTR2B;TREM2;PKD2;FGF2;ADRA1A;RERG;SPN;GJA1;ADAMTS1;ADORA3;CCN5;CYP1B1;TNFRSF8;CCN4;DACT3;PLXNC1;CCN2;NOS1;ADAMTS8;CCN1;CD33;IL10;MYOCD;CR1;DSCAM;DUSP1;ADIPOQ;F2R;ITGA1;SOX11;OPRM1;NGF;WNT16;FOXP3;RUNX3;SSTR3;SSTR4;TGFBR3;AR;SFRP4;DCSTAMP;SFRP1;SFRP2;ASTL;MYL2;AGTR2;PRKD1;ROR2;CRYAB;KANK2;ADAM22;FBLN1;PTHLH;PKHD1;IFNL1;GPNMB;FRZB;PDPN;IGFBP7;SLIT3;SLIT2;JAM2;PLXNA4;NTRK1;CCL23;TGFB2;ANGPT1;APOBEC3H;TGFB3;OSM;TDRD9;LILRB1;INHBA;PODN;AICDA;HOPX;BMP5;IL6;WT1;SST;SYT11;DLC1;BCL2;FCGR2B;FERMT2;CD200
GO_Biological_Process_2021	positive regulation of MAPK cascade (GO:0043410)	9.607204e-02	9.911692e-01	0	0	inf	inf	RET;TENM1;IL26;FLT3;LRRK2;HTR2B;ADRA1D;TREM2;HTR2A;FGF2;ADRA1A;PIK3CG;ROBO1;SOX2;BMPER;GLIPR2;CCR7;TNFAIP8L3;CCN2;CD36;PDGFRB;PDGFRA;FCRL3;F2R;OPRM1;ADCYAP1;ADRB3;HAND2;KIT;XCL2;IAPP;ROR1;ROR2;CCL14;CCL13;CSF1R;CCL11;C5AR1;LPAR1;FPR2;PLA2G5;ADRB2;RASGRP1;PIK3R5;LILRA5;APELA;CALCR;CCL8;GPNMB;THPO;CCL7;CCL5;PDGFC;CCL4;P2RY1;S100A12;CCL2;CCL19;CCL18;CCL17;CCL16;SLAMF1;CCR1;CCL25;NTRK1;CCL23;TGFB2;CCL22;CCL21;ANGPT1;NTRK3;GPR55;PLA2G2A;IGF2;LAPTM5;OSM;IGF1;SCIMP;GH1;IL6;CD4;PTPRC;GPR183;FGF19;LEP;TEK;FERMT2;NODAL;FGF10;FGFR1
GO_Biological_Process_2021	regulation of apoptotic process (GO:0042981)	1.039852e-01	9.911692e-01	0	0	inf	inf	ALK;FCMR;FLT3;RASGRF2;HTR2B;FASLG;FMN2;CD3E;IKZF3;MPO;COMP;TCL1A;RASSF2;CLEC5A;ANKRD1;CYP1B1;PROK2;CTLA4;TNFRSF8;CD38;IL10;MEF2C;NAT8B;ACTN3;HGF;OSR1;WNT5A;NGF;CLIP3;GREM1;SFRP4;SFRP1;SFRP2;GAS1;IAPP;ALPK2;CRYAB;ARHGEF6;ARHGEF26;LEF1;PIK3R1;GATA1;FSTL1;THBS1;NUGGC;FOXO1;NEUROD1;PKHD1;FRZB;NTF3;PDPN;NCKAP1L;SLIT2;NTRK1;TNFSF18;NGFR;TSLP;ANGPT1;TGFB3;MCF2;GZMA;NR1H4;CIDEA;GCG;LILRB1;AZU1;SEPTIN4;IGF1;IL2;MLLT11;CXCL10;DAB2;IL6;CD40LG;GDNF;WT1;AXL;IL2RB;WNK3;BCL2;CD28;CD27;MNDA;GHRL;TEK;EVI2B;VIP
GO_Biological_Process_2021	external encapsulating structure organization (GO:0045229)	1.125418e-01	9.911692e-01	0	0	inf	inf	VIT;SPARC;ECM2;COL14A1;ELN;ITGB3;SERPINE1;TNC;ITGAL;FGF2;MMP21;ADAMTSL1;COMP;ADAMTS4;ADAMTS5;ADAMTS2;ADAMTS3;ADAMTS1;ADAMTSL3;COL10A1;TNR;ADAMTS8;POSTN;MMP7;ITGA4;MMP2;ITGA1;DCN;ADAM19;VCAN;MMP13;MMP16;LOX;ITGAD;COL4A1;COL4A4;COL6A2;MMP17;PXDN;ADAM12;COL8A2;COL4A6;ITGA8;PECAM1;COL8A1;MMP19;COL4A5;COL6A3;ITGA5;MATN3;DDR2;ITGA9;FBN2;COL15A1;LAMA2;COL11A1;PAPLN;NDNF;ADAMTS12;NID1;NID2;THBS1;COL19A1;FBLN5;ADAMTS16;ADAMTS15;ADAMTS18;JAM2;JAM3;VCAM1;COL24A1;LUM;FN1;COL1A1;MFAP5;SMOC2;COL3A1;COL1A2;COL5A1;COL5A2;ITGA11;MFAP2;RECK;FBN1
GO_Biological_Process_2021	extracellular structure organization (GO:0043062)	1.125418e-01	9.911692e-01	0	0	inf	inf	VIT;SPARC;ECM2;COL14A1;ELN;ITGB3;SERPINE1;TNC;ITGAL;FGF2;MMP21;ADAMTSL1;COMP;ADAMTS4;ADAMTS5;ADAMTS2;ADAMTS3;ADAMTS1;ADAMTSL3;COL10A1;TNR;ADAMTS8;POSTN;MMP7;ITGA4;MMP2;ITGA1;DCN;ADAM19;VCAN;MMP13;MMP16;LOX;ITGAD;COL4A1;COL4A4;COL6A2;MMP17;PXDN;ADAM12;COL8A2;COL4A6;ITGA8;PECAM1;COL8A1;MMP19;COL4A5;COL6A3;ITGA5;MATN3;DDR2;ITGA9;FBN2;COL15A1;LAMA2;COL11A1;PAPLN;NDNF;ADAMTS12;NID1;NID2;THBS1;COL19A1;FBLN5;ADAMTS16;ADAMTS15;ADAMTS18;JAM2;JAM3;VCAM1;COL24A1;LUM;FN1;COL1A1;MFAP5;SMOC2;COL3A1;COL1A2;COL5A1;COL5A2;ITGA11;MFAP2;RECK;FBN1
GO_Biological_Process_2021	inflammatory response (GO:0006954)	1.155458e-01	9.911692e-01	0	0	inf	inf	CXCL6;CXCL9;NRROS;TNFAIP6;GPR68;CXCL13;ITGAL;PIK3CG;CRHBP;ADORA3;C3AR1;PROK2;OLR1;CCR7;CCR5;CCR3;PF4V1;CMKLR1;PTGDR;CCR2;CD96;GPR33;F2R;CYBB;TACR1;IFNG;KIT;AGTR1;XCL2;TLR10;AGTR2;TLR4;SCG2;CCL14;PTGFR;CCL13;CSF1R;CCL11;PTGER3;C5AR1;FPR1;FPR3;FPR2;HPR;MEFV;AIF1;HDAC9;THBS1;CCL8;CCL7;CCL5;CXCR2;CCL4;NLRP3;CCL2;CCL19;CCL18;TAC1;CCL17;CCL16;KLRG1;CCR1;AOC3;CCL25;CCL23;PLA2G2D;XCR1;CCL22;CCL21;ODAM;AZU1;PPBP;SELE;CXCL10;IL6;CD40LG;TNFSF4;IL2RA;PTX3;SIGLEC1;ACKR1;FCGR2B;FOLR2
GO_Biological_Process_2021	positive regulation of cytokine production (GO:0001819)	1.283746e-01	9.911692e-01	0	0	inf	inf	IL21;CD86;FCN1;ITK;CSF2;IL26;CD80;SERPINE1;HTR2B;IL27;CLEC9A;PIK3CG;C1QTNF3;PDE4B;CYP1B1;IL12B;CCR7;LBP;CCR2;HAVCR2;HLA-DPA1;IL10;CCBE1;GBP5;FCER1G;IL1R1;IL13;ADIPOQ;F2R;WNT5A;IL16;IFNG;IRF4;TLR8;CD226;PRKCQ;TLR7;TLR4;CSF1R;HHLA2;HMHB1;LILRA2;LY9;AIF1;RASGRP1;LILRA5;IFNL1;CLEC7A;NLRP3;SLAMF6;CCL19;TIGIT;LURAP1;EGR1;IL33;TSLP;RFTN1;CRTAM;LAPTM5;NR1H4;OSM;LILRB1;LILRB2;SULF1;SCIMP;IL2;CD2;IL6;CD4;CD40LG;PTPRC;TNFSF4;CLEC6A;LEP;CD28;HLA-DPB1;CD200;NODAL;CRLF2
GO_Biological_Process_2021	regulation of ERK1 and ERK2 cascade (GO:0070372)	1.464047e-01	9.911692e-01	0	0	inf	inf	IL26;HTR2B;TREM2;HTR2A;FGF2;ADRA1A;BMPER;GLIPR2;TIMP3;CCR7;TNFAIP8L3;CCN2;CD36;CCN1;PDGFRB;PDGFRA;LMO3;ADIPOQ;F2R;OPRM1;DUSP26;TGFBR3;ADCYAP1;HAND2;XCL2;ROR1;ROR2;TLR4;CCL14;CCL13;CSF1R;CCL11;C5AR1;FBLN1;FPR2;PLA2G5;RASGRP1;PKHD1;APELA;CALCR;CCL8;GPNMB;THPO;CCL7;CCL5;PDGFC;CCL4;P2RY1;CCL2;CCL19;CCL18;CCL17;CCL16;SLAMF1;CCR1;CCL25;NTRK1;CCL23;CCL22;CCL21;ANGPT1;NTRK3;GPR55;PLA2G2A;FN1;SCIMP;CD4;PTPRC;GPR183;FGF19;TEK;FERMT2;NODAL;FGF10
GO_Biological_Process_2021	cellular response to oxygen-containing compound (GO:1901701)	1.503002e-01	9.911692e-01	0	0	inf	inf	RET;CD86;CXCL6;CXCL9;PID1;GUCY1B1;CD80;AQP9;SERPINE1;RORB;CXCL13;PKD2;RYR3;CRHBP;ANKRD1;PDE4B;CTSG;LBP;CCR5;PF4V1;IL10;PDGFRA;MEF2C;IGFBP5;CD180;WNT5A;WNT9B;PDCD1LG2;SFRP1;PRKD1;MAPT;TLR4;EPHA3;CX3CR1;HCN4;KCNE1;UCP1;DEFB124;LY96;AKAP6;NUGGC;FOXO1;GLRA1;GNG2;P2RY1;NLRP3;STAP1;CCL2;SLIT2;BRINP3;WNT2;DRD5;P2RY12;EGR1;FZD7;NR1H4;LILRB1;PPBP;LILRB2;ESR1;IRGM;TSHR;P2RX7;CXCL10;CRYGD;CPEB1;IL6;NR4A3;AXL;WT1;TNFSF4;TNIP3;PDE3A
