Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,KEGG_2021_Human__Shigellosis,-0.43438297625659117,-2.5260776287030535,0.0,0.0,0.0,15/20,28.76%,H3C13;H3C7;FOXO1;PIK3R1;ITGA5;WASF1;CSF2;H3-5;PRKCQ;TLR4;MAPK10;HCLS1;CCL5;AKT3;MYL9
prerank,KEGG_2021_Human__Salmonella infection,-0.33435308402470115,-2.1688117676910648,0.0,0.06624319419237751,0.05,21/23,55.61%,RAB9B;LEF1;RHOH;TLR4;ARHGEF26;TUBA1A;KIF5C;MAPK10;TUBB4A;AKT3;MYL9;RHOJ;LY96;BCL2;NLRP3;FLNC;NCKAP1L;MYL10;KIF5A;PIK3CG;IL6
prerank,KEGG_2021_Human__Epstein-Barr virus infection,-0.32118253177254386,-2.1275231196821256,0.0,0.061826981246219,0.07,22/23,60.71%,PIK3R1;RUNX3;HLA-DPB1;HLA-DRA;MAPK10;HLA-DPA1;HLA-DQA2;CXCL10;CD3D;AKT3;CCNA1;HLA-DOA;CD19;HLA-DQA1;ENTPD1;BCL2;ITGAL;CD3E;BTK;IL6;FCER2;CD3G
prerank,KEGG_2021_Human__Lipid and atherosclerosis,-0.32684706597750074,-2.120503928983251,0.0,0.046370235934664245,0.07,25/25,67.59%,FASLG;PIK3R1;NCF2;TLR4;LBP;MAPK10;NFATC1;CCL5;CYP1A1;AKT3;VCAM1;LY96;IL12B;BCL2;NLRP3;CD36;SELP;CCL2;CYBB;CAMK2A;CD40LG;IL6;RXRG;OLR1;SELE
prerank,KEGG_2021_Human__Pathogenic Escherichia coli infection,-0.3793161421216956,-2.033472449688022,0.0,0.079491833030853,0.12,22/23,56.52%,CLDN22;FASLG;CLDN2;WASF1;TLR4;TUBA1A;MAPK10;TUBB4A;HCLS1;MYO5A;LPAR1;WIPF1;MYH10;CLDN10;F2R;NLRP3;FCGR2A;NCKAP1L;CLDN11;LPAR4;IL6;IL1R1
prerank,GO_Biological_Process_2021__protein ubiquitination (GO:0016567),-0.30154371282852854,-1.9497524076609862,0.0,0.16339987900786448,0.25,20/23,51.87%,H2BC3;ASB9;RNF144A;ASB11;SPSB1;KLHL13;FBXL22;KBTBD8;RNF112;UBE2E2;MARCHF1;SPSB4;PDZRN3;CAND2;BCL2;MEFV;FBXL7;HECW1;ASB2;TRIM61
prerank,KEGG_2021_Human__Herpes simplex virus 1 infection,-0.22792698825585422,-1.9477177654739979,0.0,0.14005703914959813,0.25,26/38,38.41%,FASLG;PIK3R1;ITGA5;ZNF667;ZNF471;HLA-DPB1;ZNF677;ZNF418;ZIK1;ZFP92;HLA-DRA;HLA-DPA1;ZFP82;HLA-DQA2;ZNF382;CCL5;ITGB3;AKT3;LTA;HLA-DOA;HLA-DQA1;ZNF354C;IL12B;ZNF135;ZNF154;BCL2
prerank,KEGG_2021_Human__NOD-like receptor signaling pathway,-0.3785995756289785,-1.9038348205454214,0.0,0.17554446460980036,0.34,15/15,62.34%,NLRP12;TLR4;CASP12;MAPK10;CCL5;P2RX7;GBP5;BCL2;MEFV;NLRP3;CASR;CCL2;CYBB;IL6;ANTXR1
prerank,KEGG_2021_Human__Osteoclast differentiation,-0.24390167703065227,-1.8845375308138106,0.0,0.17959265981044567,0.37,33/34,71.67%,PIK3R1;TREM2;LILRB1;SIRPB1;NCF2;CAMK4;MAPK10;SIRPG;LILRA5;NFATC1;LCP2;ITGB3;LILRB4;AKT3;LILRB2;TGFB2;LILRA2;FCGR3A;MITF;FCGR2C;LILRA6;FCGR2A;CSF1R;BTK;LILRA1;IL1R1;FCGR2B;FCGR3B;CALCR;FOSB;IFNG;CTSK;LILRB5
prerank,KEGG_2021_Human__Influenza A,-0.26646848986395255,-1.8770109461394375,0.0,0.1642831215970962,0.37,17/25,35.76%,CPSF4L;FASLG;PIK3R1;HLA-DPB1;TLR4;HLA-DRA;HLA-DPA1;RSAD2;HLA-DQA2;CXCL10;CCL5;AKT3;TPSAB1;HLA-DOA;HLA-DQA1;TPSB2;IL12B
prerank,GO_Biological_Process_2021__calcium ion transmembrane transport (GO:0070588),-0.3295868370754682,-1.869848606792657,0.0,0.15416597921135128,0.37,16/18,53.20%,SLC8A3;TRPC6;TRPC4;ATP2B3;TRPC1;P2RX7;NALCN;GRIN2B;MICU3;TRPC3;CACNA1G;PKD2;SLC24A2;SLC24A4;CACNA2D1;TRPM3
prerank,KEGG_2021_Human__Protein digestion and absorption,0.3426900895426365,1.8061485421442827,0.0,1.0,0.94,24/31,49.28%,ATP1A4;COL8A1;COL10A1;COL6A6;COL19A1;COL14A1;COL24A1;XPNPEP2;COL11A1;COL3A1;COL6A5;SLC8A1;ATP1A2;CPA3;COL6A3;COL5A2;ELN;COL21A1;COL1A2;COL1A1;COL4A6;COL5A1;COL8A2;COL12A1
prerank,KEGG_2021_Human__Insulin secretion,0.43469255247460725,1.7995456961487877,0.012658227848101266,1.0,0.94,16/18,47.95%,ATP1A4;CCKAR;ADCYAP1;GPR119;GCG;FFAR1;ATP1A2;PRKCB;ADCYAP1R1;KCNMB2;GIP;ADCY2;ADCY5;GLP1R;RIMS2;CAMK2A
prerank,KEGG_2021_Human__Th1 and Th2 cell differentiation,-0.3020500278042457,-1.7445042664803938,0.0,0.28484573502722327,0.6,16/22,35.76%,RUNX3;IL2RB;HLA-DPB1;ZAP70;PRKCQ;TBX21;HLA-DRA;MAPK10;HLA-DPA1;CD4;HLA-DQA2;NFATC1;CD3D;HLA-DOA;HLA-DQA1;IL12B
prerank,KEGG_2021_Human__Toll-like receptor signaling pathway,-0.2794623313109355,-1.7410595181864132,0.05555555555555555,0.26701102889850625,0.6,13/17,43.42%,PIK3R1;TLR4;LBP;MAPK10;CD80;CXCL10;CCL5;AKT3;CCL4;LY96;IL12B;CXCL9;CD86
prerank,GO_Biological_Process_2021__cellular protein modification process (GO:0006464),-0.08744721214629105,-1.7355835344196453,0.0,0.2536168006222453,0.6,91/97,81.35%,AHSG;ST8SIA5;PEAK3;SIK1;MEX3B;RUNX3;SERPINA10;ASB9;MXRA8;FGFR1;FAM20A;ENAM;ZAP70;PLOD2;CPE;ASB11;SPSB1;PTPRO;IGFBP7;DUSP26;KLHL13;FBXL22;KBTBD8;CAMK4;FN1;NUAK1;DUSP1;KRT2;CHGB;UBE2E2;MAPK10;SDC2;PLAT;CDK14;BMPR1B;ST8SIA3;SPSB4;WNK3;NTRK1;AKT3;TGFB2;FLG;PRSS23;ST8SIA1;FCGR3A;CCDC8;CHST4;PRKD1;ERG;RET;ST8SIA4;PRKG1;CDH2;PTPN5;GPC3;PTPRD;FBXL7;ST8SIA6;LRRK2;ASB2;BTK;CCL2;CCN1;CAMK2A;SCG3;LTBP1;IL6;ST8SIA2;SCG2;CD3G;PTPRT;FSTL1;SPARCL1;CCL11;PRKCB;LOX;IGFBP5;TNC;DCLK1;CDK15;PADI4;PSMA8;ART4;ART1;COL3A1;FBN1;MATN3;AMTN;PTPRC;KRT1;VCAN
prerank,GO_Biological_Process_2021__regulation of cell motility (GO:2000145),0.3816070973484156,1.7166753264647099,0.011764705882352941,1.0,0.98,12/21,28.97%,CCL19;FGF10;FGF7;FGF19;FGF16;FGF5;NEXN;CCL21;SST;FBLN1;CCR7;PLXNA4
prerank,KEGG_2021_Human__Tuberculosis,-0.23143724876277247,-1.6998740037653972,0.07692307692307693,0.30383545069570483,0.68,31/32,72.60%,LSP1;HLA-DPB1;CLEC4E;FCER1G;TLR4;MRC2;LBP;HLA-DRA;MAPK10;HLA-DPA1;HLA-DQA2;IL10RA;AKT3;TGFB2;HLA-DOA;FCGR3A;HLA-DQA1;FCGR2C;IL12B;BCL2;FCGR2A;CLEC7A;CAMK2A;IL6;FCGR2B;FCGR3B;IL10;MRC1;CD209;IFNG;TGFB3
prerank,KEGG_2021_Human__Human T-cell leukemia virus 1 infection,-0.2469854890363481,-1.6763706143591606,0.0,0.3063747731397459,0.7,27/30,61.44%,PIK3R1;IL2RB;EGR1;CSF2;HLA-DPB1;HLA-DRA;MAPK10;HLA-DPA1;CD4;HLA-DQA2;NFATC1;CD3D;AKT3;LTA;CCNA1;TGFB2;HLA-DOA;HLA-DQA1;MMP7;ITGAL;CD3E;ADCY5;IL6;IL1R1;EGR2;CD3G;ADCY2
prerank,KEGG_2021_Human__Type I diabetes mellitus,-0.305630339611695,-1.6566505677895251,0.0,0.32576064908722113,0.74,13/16,43.42%,FASLG;HLA-DPB1;CPE;HLA-DRA;HLA-DPA1;CD80;HLA-DQA2;LTA;HLA-DOA;HLA-DQA1;IL12B;GAD2;CD86
prerank,KEGG_2021_Human__Prion disease,-0.24599122118715167,-1.655132549876565,0.05,0.3106069772131478,0.75,12/23,20.91%,PIK3R1;C6;EGR1;CAV1;NCF2;CASP12;C1QB;TUBA1A;KIF5C;MAPK10;C1QC;TUBB4A
prerank,GO_Biological_Process_2021__regulation of cytoskeleton organization (GO:0051493),-0.30159035425463687,-1.6455981501132397,0.047619047619047616,0.3040213965039641,0.76,12/16,38.50%,FAM107A;PEAK3;MAPT;RHOH;MAP6;PHLDB2;P2RX7;PDGFRB;DLC1;CORO2B;CLIC4;GPM6B
prerank,GO_Biological_Process_2021__positive regulation of neuron projection development (GO:0010976),-0.25774134790528236,-1.6320684877974008,0.0625,0.3086932849364792,0.78,20/20,74.41%,CAMK1D;NTRK3;ROR1;WNT5A;ZNF804A;NTRK1;NDNF;PRKD1;RET;ROR2;ZDHHC15;PTN;RELN;BMP5;ALK;DPYSL3;TENM3;PLPPR5;STMN2;EPHA3
prerank,GO_Biological_Process_2021__sulfur compound biosynthetic process (GO:0044272),0.3724103893518245,1.6297601062075546,0.012987012987012988,1.0,1.0,14/18,46.62%,OGN;OMD;KERA;VCAN;DCN;LUM;CHSY3;PRELP;GSTM5;ANGPT1;GGTA1;DSEL;HPGDS;CHST9
prerank,GO_Biological_Process_2021__positive regulation of Wnt signaling pathway (GO:0030177),0.37581011703724554,1.6251163447931676,0.05063291139240506,1.0,1.0,16/19,51.24%,RSPO3;FGF10;SFRP1;SFRP4;RSPO1;RSPO2;DKK2;SFRP2;PSMA8;DAAM2;COL1A1;SULF1;ADGRA2;ZEB2;DACT1;LRRK2
prerank,GO_Biological_Process_2021__regulation of cell adhesion (GO:0030155),-0.2651883353584447,-1.6205296070675508,0.047619047619047616,0.31670555699593816,0.8,22/22,73.69%,SEMA5A;CYTIP;DUSP26;NUAK1;DUSP1;PKHD1;SPN;PLXNC1;CCL5;IL12B;RET;AZU1;ADAM22;DSCAM;PIK3CG;ANGPT1;RIPOR2;CXCL12;PLXNA4;CCR7;FBLN1;TNFSF18
prerank,KEGG_2021_Human__Pertussis,-0.3494998484389209,-1.5999083242118135,0.07692307692307693,0.33482923609965354,0.84,15/15,65.24%,CFL2;ITGA5;SERPING1;CXCL6;TLR4;C1QB;MAPK10;C1QC;LY96;IL12B;NLRP3;C1R;IL6;C1S;IL10
prerank,GO_Biological_Process_2021__plasma membrane bounded cell projection organization (GO:0120036),0.3210355983125398,1.5938198689524448,0.02564102564102564,1.0,1.0,13/24,31.93%,LGI1;PLP1;MYOC;NPY;ADCYAP1;STMN4;ATCAY;SH3GL2;GPM6A;CCL21;STMN2;CCR7;TSGA10IP
