Feature,Importance,Percentage
Gene_ISLR,0.891305308346769,1.3818057926131821
Gene_SLC16A4,0.8020847295289988,1.2434856104307477
Gene_FOXC1,0.7710331735267717,1.1953458545561684
Gene_CFH,0.7406422178376103,1.1482302385926253
Gene_RBMS3,0.7159647339290315,1.1099723151934682
Gene_PDE5A,0.6705611108525774,1.03958230541215
Gene_MPP2,0.6641824637190455,1.0296933801745136
Gene_TCEAL7,0.6534752161123589,1.013093751935671
Gene_NCAM1,0.6512110235997915,1.0095835357390905
Gene_RBPMS,0.6407512073915661,0.9933675046094165
Gene_DNM3OS,0.6333994318502496,0.9819699218351975
Gene_ACSS3,0.6000340751151241,0.9302430412955559
Gene_EHD2,0.5763987930658738,0.8936008611807775
Gene_SLC47A1,0.5711527291919508,0.8854677990509766
Gene_TMEM200B,0.5351887714358111,0.8297122631113261
Gene_FZD7,0.5332613076141566,0.8267240831365488
Gene_DENND2B,0.5024485711936342,0.7789545733250174
Gene_TSLP,0.4924971914181278,0.763526779852325
Gene_LINC00857,0.48968213663676363,0.7591625525028576
Gene_TSPAN2,0.47739203283170556,0.740108995354021
Gene_ADCY5,0.46272433126426404,0.7173694079192665
Gene_MAGI2-AS3,0.4625557174486736,0.7171080030505693
Gene_ADAMTS9-AS2,0.45707397840709174,0.7086095696963447
Gene_KIAA1755,0.4544499909594545,0.7045415572869776
Gene_ADGRA2,0.4538700521074168,0.7036424682121089
Gene_EFEMP2,0.448474727118585,0.6952780040349271
Gene_CARMN,0.44615399878766654,0.6916801393967228
Gene_LAYN,0.42032317551664844,0.6516341743501717
Gene_MATN2,0.41918966161470816,0.6498768684516868
Gene_TCF7L1,0.41244702371226294,0.6394236421286286
Gene_INMT,0.41112286770036177,0.6373707805216866
Gene_TPM1,0.407682547828971,0.6320371940589877
Gene_TWIST2,0.40454972519119703,0.6271803257922259
Gene_IFFO1,0.40314942130773845,0.6250094108437098
Gene_NHSL2,0.39098162522064744,0.6061454694321358
Gene_PALLD,0.38786399305875685,0.60131215121873
Gene_ISL1-DT,0.38123467920056175,0.591034613090638
Gene_C1QTNF1,0.37212295321730837,0.5769085491858721
Gene_NRP2,0.3712465048388123,0.5755497763445224
Gene_RGS9,0.3491347297802503,0.5412695150527392
Gene_CLU,0.3488285882589206,0.5407948986406398
Gene_CD248,0.3431143935388173,0.5319360852908078
Gene_EYA4,0.34247734335661983,0.5309484555485611
Gene_JAZF1,0.3417513181411354,0.5298228862975483
Gene_HHIP-AS1,0.3402644403506209,0.5275177543471374
Gene_CLDN11,0.3354107245053481,0.5199929560452665
Gene_GSN,0.3348687367398852,0.5191527031859727
Gene_IGFBP4,0.3287034018446883,0.5095944795427352
Gene_GJA1,0.32006218494513855,0.4961978538801185
Gene_DACT3,0.31424429216614286,0.48717827566428795
Gene_MRC2,0.31138397165039644,0.48274387207622915
Gene_BHMT2,0.30996655615310703,0.48054642870149256
Gene_EDNRA,0.30697606543804773,0.47591022003749434
Gene_PMP22,0.3052027503266393,0.47316101943235295
Gene_VSTM4,0.30015286390421786,0.4653320945452302
Gene_TVP23A,0.29702701606268506,0.4604860394238161
Gene_DDR2,0.2920477209295664,0.45276655341420613
Gene_GLT8D2,0.2876220685940126,0.44590538925856643
Gene_FGF2,0.280969521022353,0.4355918315089725
Gene_SYDE1,0.2777396505419247,0.4305845083196554
Gene_IRAG1,0.2777217410295009,0.4305567428976633
Gene_RAB31,0.27156844289972365,0.421017180056763
Gene_PNMA8B,0.26919513355530733,0.4173377981782232
Gene_MFGE8,0.26810016943563253,0.41564025666343435
Gene_DNAJB5,0.26767584966420976,0.41498242649841516
Gene_PABPC1P4,0.2654615347688046,0.4115495364208099
Gene_CLIC6,0.2647394884419418,0.41043013570856157
Gene_TNS1,0.2594167426418113,0.4021781922831711
Gene_SCARA3,0.2592058553272498,0.40185125008937866
Gene_ZEB1,0.2580954873894741,0.40012982777316203
Gene_CACNA2D3,0.2559811036877482,0.39685186272629047
Gene_GRIK5,0.2513090892300043,0.3896087591786884
Gene_FHL2,0.24836744554450732,0.3850482788961652
Gene_CLMP,0.24671954395233914,0.3824935090048716
Gene_HSPB7,0.24477621722150472,0.37948073649195135
Gene_NECAB1,0.24453893317785252,0.3791128709996865
Gene_TMLHE,0.23740322009446505,0.3680502535321214
Gene_TGFB1I1,0.23578216200839405,0.3655370995852991
Gene_GSDME,0.23429321017953966,0.36322875221794276
Gene_CCDC8,0.23373337090412946,0.3623608238588835
Gene_GPRASP1,0.23241187310552205,0.3603120833252629
Gene_EMILIN1,0.2306319127471171,0.35755258048057786
Gene_GSTM5,0.23057724920639153,0.35746783466282944
Gene_KANK2,0.22688946160151408,0.3517505947601538
Gene_ASB2,0.22407868696441832,0.3473930029912085
Gene_NT5E,0.21586386877402464,0.3346574305061697
Gene_HACD4,0.21398144481375825,0.33173907659523577
Gene_KCNMB1,0.2137569879372155,0.33139109727850324
Gene_GAS6,0.21130472837494788,0.3275893175332242
Gene_RASL12,0.20962447021973438,0.3249843847114213
Gene_OLFML1,0.1987466136392891,0.3081202584762091
Gene_FBLN1,0.19659999545665285,0.30479231976484045
Gene_SERPING1,0.19520229770080255,0.3026254451403207
Gene_GYPC,0.19295326895588666,0.29913873759086984
Gene_POPDC2,0.18914886258887462,0.29324070163600435
Gene_TRPC4,0.18911120965223432,0.29318232764734836
Gene_SSPN,0.18759280538989434,0.29082831967097755
Gene_WFDC1,0.18255520976606704,0.283018449418147
Gene_DBNDD2,0.18169767285551752,0.2816889953474932
Gene_PLN,0.17431238512547403,0.27023945805659805
Gene_PLPP7,0.17225267215518414,0.26704624997535575
Gene_PRELP,0.16880586717472137,0.26170260953766367
Gene_ITGA1,0.1658265350014306,0.25708370015092596
Gene_NAALADL1,0.16577508184808656,0.257003931451387
Gene_SERPINF1,0.1600290815320063,0.24809580934467132
Gene_LMOD1,0.15869538845988826,0.2460281622709216
Gene_PRRX1,0.15704613644730533,0.24347129879987023
Gene_PGR,0.1515938279030571,0.23501849204667025
Gene_AOC3,0.1494585413905722,0.2317081210164413
Gene_CAVIN1,0.14839090099020785,0.23005293992884326
