Feature,Importance,Percentage
Gene_GOLGA7B,0.32748044171297774,1.5008432351029573
Gene_CAPN11,0.26989253827833476,1.2369178084681698
Gene_WNK4,0.2520996359772757,1.1553729170795186
Gene_TECTA,0.2240788031269063,1.0269534084045948
Gene_CAPG,0.2087761276961789,0.9568212295817967
Gene_PCBP3-AS1,0.2033418018517781,0.931915708084844
Gene_SPP1,0.18792160043245312,0.8612449075232551
Gene_TRIM5,0.1849480721439063,0.8476172240105884
Gene_GBP7,0.18375653459903843,0.8421564060935492
Gene_LGI4,0.1726936141146966,0.7914550289897562
Gene_PDGFA-DT,0.16962672383690766,0.7773994673747
Gene_SPPL2B,0.15561172826886094,0.7131687268203176
Gene_CASP12,0.1505642592268133,0.6900361704865003
Gene_ENPEP,0.1494903354928951,0.6851143767981911
Gene_LAMA4,0.1492340185251253,0.6839396758447321
Gene_SPRY4,0.1490276248015113,0.682993773175756
Gene_TIAM2,0.14803518570927676,0.6784454236925298
Gene_SMARCA2,0.14286260445809162,0.654739477962599
Gene_GPRASP3,0.14257571226673743,0.6534246507248394
Gene_SPARCL1,0.1381841026442395,0.6332978988533005
Gene_ZNF177,0.1372128128072044,0.6288464764305958
Gene_PIBF1,0.13335420741506723,0.6111624835502009
Gene_MLH3,0.13026171216935847,0.5969895743381815
Gene_LRRTM2,0.1290649351804925,0.5915047440433675
Gene_SLC35A1,0.12882367658663646,0.5903990556346025
Gene_LINC02104,0.12865717426214357,0.5896359752929585
Gene_TTC28,0.12834332985785366,0.5881976260328025
Gene_CYSLTR1,0.12730836892963454,0.583454398927121
Gene_MAP2,0.12638749349215986,0.5792340257546746
Gene_SEMA3D,0.12606489515030248,0.5777555571887367
Gene_TMOD1,0.1250970642026839,0.5733199868601437
Gene_GPR37,0.12483631767038599,0.5721249852074377
Gene_DCHS1,0.1237372335445582,0.5670878814145236
Gene_PCDHGB9P,0.12366692331924194,0.5667656495723026
Gene_AFAP1L2,0.12280279188609228,0.5628053342359162
Gene_SH3TC2-DT,0.12194615807472843,0.5588793805086621
Gene_SFRP1,0.12192107029807837,0.5587644031998736
Gene_ST8SIA4,0.11974462409798961,0.5487897478009668
Gene_DIXDC1,0.11812083969433582,0.541347942040776
Gene_SLC44A2,0.11780428273062855,0.5398971611177393
Gene_FREM2,0.11641451964872115,0.5335278753400419
Gene_LINC01502,0.11574823860948383,0.5304743085829372
Gene_STON1,0.11519090316607489,0.5279200396148486
Gene_PLA2G5,0.11446162145820918,0.5245777407220985
Gene_GDNF-AS1,0.11416672675559518,0.5232262379661756
Gene_CSGALNACT1,0.11341039646029398,0.5197599753665878
Gene_RFTN2,0.11103949562541263,0.5088941341562893
Gene_RHOJ,0.11019157888279013,0.5050081307649451
Gene_PCDHB14,0.10898426882839311,0.49947502741887817
Gene_PRIMA1,0.10802595610329696,0.49508307911488075
Gene_SNX22,0.10653462396809768,0.4882483022509629
Gene_HHATL,0.10515833391423558,0.4819407633760494
Gene_DLC1,0.10119633870214668,0.4637829348337708
Gene_METTL21C,0.10053720468428282,0.4607621228837116
Gene_RBMS3,0.09997223114617482,0.4581728485189703
Gene_PIK3CD,0.09946518898013175,0.4558490736979852
Gene_NOSTRIN,0.09916133838205297,0.45445652606300857
Gene_ZEB1,0.09745851607077008,0.44665248948267666
Gene_GORAB-AS1,0.09696253913425895,0.4443794266211632
Gene_ELOVL2-AS1,0.09690192318046205,0.44410162363629024
Gene_TSPYL2,0.09683364101367574,0.443788686388608
Gene_VPS13B,0.09679669613446573,0.4436193679653641
