Feature,Importance,Percentage
Gene_XYLT1,0.06986352,6.986352
Gene_ATP1B2,0.06103512,6.103512
Gene_LRRC17,0.055610646,5.5610647
Gene_FGF2,0.05091319,5.091319
Gene_PIK3CD,0.036437858,3.6437857
Gene_LAMA4,0.036367577,3.6367576
Gene_ALDH1A1,0.036117785,3.6117785
Gene_SLC22A17,0.034155898,3.4155898
Gene_IGFBP2,0.028338315,2.8338315
Gene_HBEGF,0.024991026,2.4991026
Gene_ZEB1,0.022932317,2.2932317
Gene_TECTA,0.019886274,1.9886274
Gene_MAP3K7CL,0.01855629,1.855629
Gene_CCDC146,0.017666742,1.7666743
Gene_PPP2R2B,0.016496612,1.6496612
Gene_SLIT2,0.016380573,1.6380572
Gene_TNFSF18,0.015972903,1.5972903
Gene_SCD5,0.01578287,1.578287
Gene_GNG2,0.014550496,1.4550496
Gene_TLCD2,0.014522956,1.4522955
Gene_ABCA6,0.013477556,1.3477557
Gene_VPS13B,0.013233601,1.3233601
Gene_LINC02104,0.012734887,1.2734888
Gene_ITIH6,0.012726313,1.2726313
Gene_SPP1,0.0123427445,1.2342745
Gene_NAPEPLD,0.012153395,1.2153395
Gene_PTPRZ1,0.01155004,1.155004
Gene_KHDRBS3,0.011235345,1.1235346
Gene_ERRFI1,0.01104245,1.104245
Gene_SULT1A1,0.010395356,1.0395356
Gene_SPTBN5,0.009217608,0.9217608
Gene_GDNF-AS1,0.008295274,0.82952744
Gene_RTL9,0.007219808,0.7219808
Gene_NKAIN3,0.0065752417,0.65752417
Gene_ARL15,0.0065112794,0.65112793
Gene_TLE4,0.006497214,0.6497214
Gene_SPRY3,0.006432434,0.64324343
Gene_TTN-AS1,0.0056314417,0.56314415
Gene_ELOVL2,0.005026586,0.5026586
Gene_KCNAB2,0.0048361453,0.48361453
Gene_ZNF177,0.0047831964,0.47831964
Gene_PCDHB12,0.0040826085,0.40826085
Gene_PDGFA,0.0037301334,0.37301335
Gene_TSPYL2,0.0035248399,0.352484
Gene_GLIDR,0.0034484074,0.34484074
Gene_SLC44A2,0.0026438131,0.26438132
Gene_EPN2,0.0018409225,0.18409225
Gene_MAP2,0.0016736508,0.16736507
Gene_WNK4,0.0010631832,0.10631832
Gene_CAVIN2,0.00012749735,0.012749734
Gene_CFI,0.0,0.0
Gene_WARS2-IT1,0.0,0.0
Gene_MIR503HG,0.0,0.0
Gene_CASP12,0.0,0.0
Gene_PCBP3-AS1,0.0,0.0
Gene_LRRC37A11P,0.0,0.0
Gene_ITGA1,0.0,0.0
Gene_TMEM178B,0.0,0.0
Gene_LINC01502,0.0,0.0
Gene_CSPG4P12,0.0,0.0
Gene_LINC02552,0.0,0.0
Gene_DNAJC3-DT,0.0,0.0
Gene_MSANTD2-AS1,0.0,0.0
Gene_PCDHGB9P,0.0,0.0
Gene_MRPS6,0.0,0.0
Gene_NFIA-AS2,0.0,0.0
Gene_ZEB1-AS1,0.0,0.0
Gene_C2orf92,0.0,0.0
Gene_LINC03013,0.0,0.0
Gene_LINC02473,0.0,0.0
Gene_SPPL2B,0.0,0.0
Gene_KIAA0753,0.0,0.0
Gene_DMD,0.0,0.0
Gene_NTM,0.0,0.0
Gene_SLC5A3,0.0,0.0
Gene_PDZD2,0.0,0.0
Gene_SIPA1L2,0.0,0.0
Gene_FILIP1,0.0,0.0
Gene_PLAGL1,0.0,0.0
Gene_LTBP2,0.0,0.0
Gene_TGFB3,0.0,0.0
Gene_PCDHB10,0.0,0.0
Gene_PCDHB14,0.0,0.0
Gene_FLRT1,0.0,0.0
Gene_RHOJ,0.0,0.0
Gene_KDR,0.0,0.0
Gene_ARHGEF6,0.0,0.0
Gene_TRIM5,0.0,0.0
Gene_POSTN,0.0,0.0
Gene_ANO3,0.0,0.0
Gene_NR3C1,0.0,0.0
Gene_IL6ST,0.0,0.0
