Feature,Importance,Percentage
Methylation_cg17911788,0.013263619,1.3263619
Methylation_cg11660826,0.010439983,1.0439982
Methylation_cg12070159,0.009258426,0.9258426
Methylation_cg13727849,0.008082839,0.80828387
Methylation_cg23200020,0.007813029,0.7813029
Methylation_cg05064925,0.0057185455,0.57185453
Methylation_cg20003494,0.0055702277,0.55702275
Methylation_cg15026277,0.0011025065,0.11025065
Methylation_cg07148968,0.0,0.0
Methylation_cg00675569,0.0,0.0
Methylation_cg21211480,0.0,0.0
Methylation_cg21229570,0.0,0.0
Methylation_cg00002719,0.0,0.0
Methylation_cg23445461,0.0,0.0
Methylation_cg02245020,0.0,0.0
Methylation_cg04715503,0.0,0.0
Methylation_cg21038156,0.0,0.0
Methylation_cg24940138,0.0,0.0
Methylation_cg14928057,0.0,0.0
Methylation_cg14206172,0.0,0.0
Methylation_cg18103730,0.0,0.0
Methylation_cg09784335,0.0,0.0
Methylation_cg11213690,0.0,0.0
Methylation_cg19505129,0.0,0.0
Methylation_cg22969666,0.0,0.0
Methylation_cg04078410,0.0,0.0
Methylation_cg25363807,0.0,0.0
Methylation_cg01367393,0.0,0.0
Methylation_cg06464594,0.0,0.0
Methylation_cg06248767,0.0,0.0
Methylation_cg14142965,0.0,0.0
Methylation_cg14367995,0.0,0.0
Methylation_cg03205103,0.0,0.0
Methylation_cg05559795,0.0,0.0
Methylation_cg17034390,0.0,0.0
Methylation_cg19807257,0.0,0.0
Methylation_cg22260952,0.0,0.0
Methylation_cg05829338,0.0,0.0
Methylation_cg09696939,0.0,0.0
Methylation_cg22947965,0.0,0.0
Methylation_cg24302235,0.0,0.0
Methylation_cg21523564,0.0,0.0
Methylation_cg06087421,0.0,0.0
Methylation_cg03225210,0.0,0.0
Methylation_cg20449590,0.0,0.0
Methylation_cg02058408,0.0,0.0
Methylation_cg05355225,0.0,0.0
Methylation_cg15700197,0.0,0.0
Methylation_cg09329826,0.0,0.0
Methylation_cg13782615,0.0,0.0
Methylation_cg02614217,0.0,0.0
Methylation_cg07902749,0.0,0.0
Methylation_cg11670211,0.0,0.0
Methylation_cg03159396,0.0,0.0
Methylation_cg10224600,0.0,0.0
Methylation_cg17415451,0.0,0.0
Methylation_cg16596604,0.0,0.0
Methylation_cg26010734,0.0,0.0
Methylation_cg17355294,0.0,0.0
Methylation_cg20536041,0.0,0.0
Methylation_cg01016662,0.0,0.0
Methylation_cg17435901,0.0,0.0
Methylation_cg24008544,0.0,0.0
Methylation_cg18881873,0.0,0.0
Methylation_cg05923595,0.0,0.0
Methylation_cg26591930,0.0,0.0
Methylation_cg19897330,0.0,0.0
Methylation_cg18525352,0.0,0.0
Methylation_cg17639394,0.0,0.0
Methylation_cg04505435,0.0,0.0
Methylation_cg11560280,0.0,0.0
Methylation_cg03514404,0.0,0.0
Methylation_cg15229275,0.0,0.0
Methylation_cg22235821,0.0,0.0
Methylation_cg00650640,0.0,0.0
Methylation_cg11930554,0.0,0.0
Methylation_cg14117138,0.0,0.0
Methylation_cg12507655,0.0,0.0
Methylation_cg26786980,0.0,0.0
Methylation_cg10742957,0.0,0.0
Methylation_cg12317414,0.0,0.0
Methylation_cg16419441,0.0,0.0
Methylation_cg02773086,0.0,0.0
Methylation_cg25170591,0.0,0.0
Methylation_cg25971727,0.0,0.0
Methylation_cg08047907,0.0,0.0
Methylation_cg02499249,0.0,0.0
Methylation_cg17395064,0.0,0.0
Methylation_cg13132370,0.0,0.0
Methylation_cg11318054,0.0,0.0
Methylation_cg08857063,0.0,0.0
Methylation_cg12506775,0.0,0.0
Methylation_cg02783887,0.0,0.0
Methylation_cg12298212,0.0,0.0
Methylation_cg12814550,0.0,0.0
Methylation_cg27539986,0.0,0.0
Methylation_cg15356923,0.0,0.0
Methylation_cg22058855,0.0,0.0
Methylation_cg25464921,0.0,0.0
Methylation_cg19310908,0.0,0.0
