Feature,Importance,Percentage
Gene_BHMT2,0.11465944,11.465944
Gene_NEXN,0.09630691,9.630692
Gene_PMP22,0.09054894,9.054894
Gene_SMIM10,0.08493559,8.493559
Gene_KCNJ8,0.0677358,6.77358
Gene_SPARCL1,0.0586499,5.86499
Gene_STOM,0.039533164,3.9533165
Gene_IGFBP4,0.027287753,2.7287753
Gene_TCEAL7,0.025382238,2.5382237
Gene_LAMA4,0.023432894,2.3432894
Gene_AGPAT4,0.017997794,1.7997794
Gene_DKK3,0.017763799,1.77638
Gene_SERPINF1,0.016765995,1.6765995
Gene_PDE5A,0.014802484,1.4802483
Gene_CNRIP1,0.014616074,1.4616075
Gene_SERPING1,0.014226618,1.4226618
Gene_GSN,0.014158908,1.4158908
Gene_MAGI2-AS3,0.014089508,1.4089508
Gene_TIMP2,0.01354186,1.3541859
Gene_DNM3OS,0.013271148,1.3271148
Methylation_cg17911788,0.013263619,1.3263619
Gene_NACAD,0.012077044,1.2077044
Gene_RBPMS,0.010782213,1.0782213
Methylation_cg11660826,0.010439983,1.0439982
Gene_GFPT2,0.010081858,1.0081859
Gene_DACT3,0.009448644,0.9448644
Methylation_cg12070159,0.009258426,0.9258426
Gene_SLC16A4,0.009069845,0.9069845
Gene_ADAMTS8,0.00902484,0.902484
Gene_KIAA1755,0.008810295,0.8810295
Gene_COL16A1,0.008626695,0.86266947
Gene_MRC2,0.008183522,0.8183522
Methylation_cg13727849,0.008082839,0.80828387
Methylation_cg23200020,0.007813029,0.7813029
Gene_TAGLN,0.0073451702,0.73451704
Gene_RBMS3,0.0072671613,0.7267161
Gene_PDLIM7,0.0071486947,0.7148695
Gene_EFEMP2,0.0067943004,0.67943007
Gene_CCDC80,0.006040789,0.6040789
Methylation_cg05064925,0.0057185455,0.57185453
Gene_ACSS3,0.0057166484,0.57166487
Methylation_cg20003494,0.0055702277,0.55702275
Gene_AOPEP,0.005121153,0.5121153
Gene_LAYN,0.0051198653,0.51198655
Gene_NAALADL1,0.0048369505,0.48369503
Gene_ITGB1BP2,0.004781626,0.47816262
Gene_CLU,0.0035711864,0.35711864
Gene_TSLP,0.0035519912,0.35519913
Gene_SCRG1,0.0031189919,0.3118992
Gene_NRP2,0.0020092884,0.20092884
