Feature,Importance,Percentage
Gene_PDLIM3,0.05742414770222564,5.742414770222564
Gene_PRELP,0.046105629911705276,4.610562991170528
Gene_LMOD1,0.03800685092675421,3.8006850926754208
Gene_HAND2,0.027081632995805932,2.708163299580593
Gene_MSRB3,0.023954228983022696,2.3954228983022694
Gene_HSPB7,0.023191619794296608,2.3191619794296607
Gene_CLIP3,0.022680172753533814,2.2680172753533814
Gene_ACTA2,0.02258852456840908,2.258852456840908
Gene_MAGI2-AS3,0.020305617306038703,2.0305617306038704
Gene_ZFPM2,0.020221835277759684,2.0221835277759683
Gene_MGP,0.018775163692410862,1.8775163692410861
Gene_CNN1,0.01862489794266404,1.8624897942664038
Gene_INMT,0.0178697386232104,1.78697386232104
Gene_PLN,0.017571116694917174,1.7571116694917173
Gene_CDO1,0.017421775653039116,1.7421775653039115
Gene_STON1,0.014532204299629653,1.4532204299629652
Gene_BOC,0.014405810873367564,1.4405810873367564
Gene_CRYAB,0.014236305053986383,1.4236305053986382
Gene_PABPC5,0.013610896782642828,1.3610896782642827
Gene_TMEM47,0.013476349568039671,1.3476349568039672
Gene_NAP1L3,0.013080321661446105,1.3080321661446106
Gene_KCNE4,0.01249118442661691,1.249118442661691
Gene_C14orf132,0.012310317936221171,1.2310317936221171
Gene_CCDC80,0.011677686883500878,1.1677686883500877
Gene_HSPB2-C11orf52,0.011233752852733194,1.1233752852733194
Gene_ACTA2-AS1,0.011126200833281698,1.1126200833281699
Gene_SCRG1,0.010777880046057016,1.0777880046057016
Gene_TAGLN,0.009665569326607521,0.9665569326607522
Methylation_cg03318904,0.009259006763112067,0.9259006763112066
Gene_HAND2-AS1,0.00919224084818046,0.9192240848180461
Methylation_cg07380095,0.008259052872020035,0.8259052872020035
Gene_THBS4,0.008091639423619977,0.8091639423619977
Gene_RERG,0.007918132981682546,0.7918132981682545
Gene_RNF150,0.007733309313519803,0.7733309313519803
Gene_ZDHHC15,0.007542895675230549,0.754289567523055
Gene_SSC5D,0.007368791306322707,0.7368791306322707
Methylation_cg01341751,0.007249748346468603,0.7249748346468603
Gene_MYLK,0.006795867532695118,0.6795867532695118
Gene_SCN2B,0.006683367302712985,0.6683367302712985
Gene_CARMN,0.006632336420255573,0.6632336420255573
Gene_PODN,0.0065601365780378505,0.6560136578037851
Gene_MYL9,0.006552592712718281,0.6552592712718281
Gene_PABPC4L,0.0065305662065402595,0.6530566206540259
Gene_FGF7,0.0063483361902837,0.63483361902837
Gene_AOC3,0.0063041437983365044,0.6304143798336505
Gene_DACT3,0.006230269443111598,0.6230269443111598
Methylation_cg03018679,0.006204790263176749,0.6204790263176748
Methylation_cg01734062,0.006018389452421938,0.6018389452421938
Gene_RUNX1T1,0.005977023909345542,0.5977023909345542
Gene_EMILIN1,0.005944021480511508,0.5944021480511508
Gene_TCEAL7,0.005672908865633597,0.5672908865633597
Gene_CPXM2,0.0056677087945067725,0.5667708794506773
Gene_SPARCL1,0.005452947320436966,0.5452947320436966
Gene_PTGER3,0.005202185225754274,0.5202185225754273
Methylation_cg02856716,0.0051902596960889105,0.519025969608891
Methylation_cg04313338,0.004797783516206386,0.4797783516206386
Gene_NEXN,0.004177171365896961,0.41771713658969606
Gene_SFRP1,0.004149254302379657,0.4149254302379657
Gene_NDN,0.004027901079003438,0.4027901079003438
Gene_SRPX,0.003937824556293045,0.3937824556293045
Gene_SSPN,0.0038135974323603434,0.38135974323603433
Gene_MYH11,0.0034892820248045094,0.3489282024804509
Gene_OGN,0.0032733626066886235,0.32733626066886234
Gene_FLNA,0.003146041284765591,0.3146041284765591
Gene_JPH2,0.0030958164212720168,0.3095816421272017
Methylation_cg16143804,0.0030264499144752512,0.3026449914475251
Gene_MEOX2,0.002956387579579899,0.2956387579579899
Gene_LINC01140,0.0028751630187702298,0.287516301877023
Methylation_cg02764093,0.002821558168166702,0.2821558168166702
Methylation_cg12542933,0.0027214441441313947,0.27214441441313947
Gene_BEND6,0.0026744346717200557,0.26744346717200557
Methylation_cg17033166,0.0026503932372814033,0.2650393237281403
Methylation_cg10532384,0.0026200903156875922,0.2620090315687592
Methylation_cg25212131,0.002570084756743977,0.2570084756743977
Gene_AEBP1,0.0023969840598909785,0.23969840598909783
Gene_GLT8D2,0.002355785431832135,0.23557854318321353
Gene_ISLR,0.002345141791132984,0.23451417911329842
Methylation_cg05233946,0.002188920941920869,0.2188920941920869
Methylation_cg19706390,0.0021775359834185063,0.21775359834185062
Gene_MFAP5,0.002161341143989531,0.2161341143989531
Gene_SFRP2,0.0021491341153356443,0.2149134115335644
Methylation_cg25949363,0.002147374959813219,0.2147374959813219
Gene_VEGFC,0.0021210422495111982,0.21210422495111983
Methylation_cg01426303,0.0020873448350653377,0.20873448350653379
Gene_SGCA,0.00208115443637412,0.208115443637412
Methylation_cg08107308,0.0020332090250572725,0.20332090250572724
Methylation_cg11742202,0.0019923730481778835,0.19923730481778834
Gene_PRKD1,0.001990329125552172,0.19903291255521718
Gene_RAB31,0.001983573720768227,0.1983573720768227
Gene_HSPB8,0.0019251707975670124,0.19251707975670124
Gene_MRGPRF,0.0019172967000364205,0.19172967000364205
Gene_PCDH10,0.0019111986317294188,0.19111986317294188
Gene_SPOCK1,0.0019067051600684796,0.19067051600684795
Methylation_cg13708301,0.001892851355519573,0.1892851355519573
Methylation_cg15825304,0.0018902976911134633,0.18902976911134634
Methylation_cg01007345,0.0018653090699034202,0.18653090699034203
Gene_GAS1,0.0018542808103375313,0.18542808103375313
Gene_HOPX,0.0018344675294466387,0.18344675294466387
Methylation_cg03619586,0.001808416312524471,0.1808416312524471
Gene_IGF1,0.0017931151409857882,0.17931151409857882
Gene_DDR2,0.0017580273469531553,0.17580273469531554
Gene_LHFPL6,0.0017548348306114395,0.17548348306114395
Methylation_cg04255276,0.0017545504914746172,0.1754550491474617
Gene_MOXD1,0.0017361051218430545,0.17361051218430545
Gene_COPZ2,0.0017286535743713713,0.17286535743713713
Gene_GREM1,0.0017227621406293058,0.1722762140629306
Gene_COX7A1,0.0017048693808090238,0.17048693808090237
Methylation_cg03713668,0.001690380726041128,0.1690380726041128
Methylation_cg01488159,0.001674303729278011,0.1674303729278011
Gene_LTBP1,0.0016661988195384653,0.16661988195384653
Methylation_cg08954353,0.0016449366075798621,0.16449366075798622
Methylation_cg07414392,0.001629544694451149,0.1629544694451149
Gene_VSTM4,0.001606092309940978,0.1606092309940978
Methylation_cg03339668,0.0015894196771393946,0.15894196771393945
Methylation_cg19530831,0.0015659239108900321,0.15659239108900322
Methylation_cg21091985,0.001515031090100252,0.1515031090100252
Gene_SFRP4,0.001513673994656264,0.15136739946562638
Gene_IGFBP7,0.0015079594429530543,0.15079594429530543
Gene_ZNF667-AS1,0.0015053522627339767,0.15053522627339766
Gene_C1R,0.001488907549386036,0.1488907549386036
Methylation_cg24300607,0.001468491174364636,0.1468491174364636
Methylation_cg17998964,0.0014245615513130238,0.1424561551313024
Methylation_cg05656364,0.0014113572020132891,0.14113572020132892
Gene_KCNJ8,0.0014111897007619539,0.1411189700761954
Methylation_cg13599248,0.0014085251254134668,0.14085251254134667
Methylation_cg06750897,0.0013934640856452908,0.1393464085645291
Gene_ATP1A2,0.0013906130207005077,0.13906130207005077
Gene_CALD1,0.0013807187466854103,0.13807187466854104
Methylation_cg17889586,0.0013681652038126288,0.13681652038126288
Gene_GRIK5,0.0013643392769535653,0.13643392769535653
Gene_PDZD4,0.0013639530481948522,0.13639530481948522
Gene_LINC00702,0.0013599932345643476,0.13599932345643476
Gene_GGT5,0.001356942951485747,0.1356942951485747
Gene_TMEM35A,0.0013545401395352182,0.13545401395352183
Gene_RBMS3,0.001350746067102198,0.1350746067102198
Gene_AKT3,0.001301932876672482,0.1301932876672482
Gene_RSPO3,0.0013016864541165673,0.13016864541165674
Gene_IRAG1,0.001281580853911644,0.12815808539116438
Gene_GNAO1,0.0012809906566612205,0.12809906566612206
Methylation_cg17087669,0.0012706378007321718,0.12706378007321717
Methylation_cg26938118,0.0012676944711385396,0.12676944711385396
Gene_ARHGAP20,0.0012371878761157954,0.12371878761157955
Methylation_cg15602512,0.0012258089793136782,0.12258089793136782
Gene_CHRDL1,0.00120727955945274,0.120727955945274
Gene_CYP1B1,0.0012046044657650027,0.12046044657650026
Gene_CAVIN1,0.0011935448527324503,0.11935448527324503
Gene_SLIT2,0.001192939530092468,0.1192939530092468
Gene_SOD3,0.0011928720073187914,0.11928720073187914
Gene_HSPB6,0.001189415946730478,0.1189415946730478
Methylation_cg08847775,0.00118909741461462,0.118909741461462
Methylation_cg00866953,0.001161264329716615,0.1161264329716615
Gene_TGFB1I1,0.0011489933029787825,0.11489933029787826
Methylation_cg11115622,0.0011254348561434632,0.11254348561434632
Gene_ASPN,0.0011182405546897236,0.11182405546897235
Methylation_cg23234674,0.0011172741280022593,0.11172741280022593
Methylation_cg15735240,0.001112655857632914,0.1112655857632914
Gene_OMD,0.001106462476260225,0.1106462476260225
Gene_ARHGEF25,0.0011005358833515821,0.11005358833515821
Methylation_cg27647370,0.0010763584372535343,0.10763584372535343
Gene_PYGM,0.0010715366103320307,0.10715366103320306
Gene_BHMT2,0.0010639135989588275,0.10639135989588275
Methylation_cg07145664,0.001055227772800718,0.10552277728007178
Gene_MPDZ,0.0010461292448871002,0.10461292448871003
Gene_AR,0.001038157908404446,0.1038157908404446
Methylation_cg16241867,0.0010365846124293576,0.10365846124293576
Methylation_cg17147526,0.0010302984908877842,0.10302984908877842
Methylation_cg04565008,0.001024039246589401,0.1024039246589401
Gene_PGM5,0.001013027804043175,0.1013027804043175
Methylation_cg01745499,0.0009948571759030014,0.09948571759030014
Gene_SYNM,0.0009789145358840834,0.09789145358840834
Gene_PDE1A,0.0009746837612532952,0.09746837612532952
Gene_RGMA,0.000968236277651002,0.0968236277651002
Gene_PTGIS,0.0009595744317244465,0.09595744317244465
Gene_EFEMP1,0.0009302793648247964,0.09302793648247963
Methylation_cg15602548,0.0009184654299328931,0.09184654299328932
Gene_ECM2,0.0009151620907021759,0.09151620907021758
Gene_BICC1,0.0009086149268761199,0.09086149268761198
Gene_ANGPTL1,0.0008983786283807506,0.08983786283807506
Gene_TCEAL2,0.0008872105294639999,0.0887210529464
Gene_ABCC9,0.0008855965127273075,0.08855965127273076
Methylation_cg11366178,0.0008846244740369322,0.08846244740369322
Methylation_cg20617917,0.0008786151257050236,0.08786151257050236
Gene_LRRN4CL,0.0008586541463410355,0.08586541463410355
Gene_FXYD6,0.0008558631305724331,0.0855863130572433
Methylation_cg08131309,0.0008527905072901737,0.08527905072901737
Gene_SYNPO2,0.0008479149511122831,0.08479149511122831
Gene_ISM1,0.0008425431988804865,0.08425431988804864
Methylation_cg03293507,0.0008342993582691348,0.08342993582691348
Methylation_cg12593515,0.0008239214830011558,0.08239214830011558
Gene_MFAP4,0.0008038372621251606,0.08038372621251606
Methylation_cg25858249,0.0007983440259940047,0.07983440259940047
Gene_ZEB1,0.0007849371292026199,0.078493712920262
Gene_MAPK10,0.0007722718419371778,0.07722718419371778
Methylation_cg00222472,0.0007614841491569029,0.07614841491569029
Methylation_cg11962640,0.0007470941145867163,0.07470941145867163
Methylation_cg11613559,0.0007313959880666499,0.07313959880666498
Gene_DCLK2,0.0007130483706064438,0.07130483706064439
Gene_COL8A1,0.000704882420624054,0.0704882420624054
Gene_FILIP1,0.0006995865070299522,0.06995865070299521
Gene_FBXL7,0.0006951021715324697,0.06951021715324697
Methylation_cg03089475,0.0006845103391709674,0.06845103391709674
Methylation_cg22500132,0.000681491398538119,0.0681491398538119
Gene_LAYN,0.0006660062086949005,0.06660062086949005
Gene_JAM3,0.0006424991254054879,0.06424991254054879
Gene_OLFML1,0.0006377534442203506,0.06377534442203506
Gene_COL8A2,0.0006329956231468591,0.0632995623146859
Methylation_cg16438182,0.000632087627080507,0.0632087627080507
Methylation_cg06345789,0.0006066027050181508,0.06066027050181508
Gene_GLI3,0.0005789083492518456,0.057890834925184556
Methylation_cg24699296,0.0005773454365781533,0.057734543657815336
Gene_NXPH3,0.0005564911438956971,0.05564911438956971
Methylation_cg17004025,0.0005427608366554166,0.05427608366554166
Gene_ADAMTSL3,0.0005308721323868154,0.05308721323868154
Gene_FHL1,0.0005146363406801492,0.05146363406801492
Gene_TUBA1A,0.0005114928559933203,0.05114928559933203
Methylation_cg24579224,0.0005086376758465838,0.05086376758465838
Gene_NR2F1-AS1,0.0005063019588546403,0.05063019588546403
Gene_SERPING1,0.0005055033326824676,0.05055033326824677
Gene_PRICKLE2,0.0005012215487086592,0.050122154870865916
Methylation_cg16653138,0.0004702140891358865,0.04702140891358865
Gene_DCLK1,0.00047003721413828124,0.04700372141382812
Methylation_cg18203974,0.0004601179300056718,0.04601179300056718
Methylation_cg19774782,0.000455186988188234,0.0455186988188234
Methylation_cg08018825,0.00044749613910246693,0.04474961391024669
Gene_C1S,0.00042010474251483356,0.042010474251483354
Methylation_cg18921306,0.0004069013828122731,0.040690138281227306
Gene_SYNC,0.00039971487749372684,0.03997148774937268
Gene_COL14A1,0.0003949058361869681,0.03949058361869681
Gene_MIR99AHG,0.00038644510136902837,0.038644510136902836
Methylation_cg19635505,0.0003844666440951544,0.03844666440951544
Gene_ZFHX4,0.0003791725572572922,0.037917255725729224
Methylation_cg21450888,0.0003691223472078528,0.03691223472078528
Gene_SGCD,0.0003688254008896416,0.03688254008896416
Gene_C8orf88,0.00036582161856660024,0.03658216185666002
Methylation_cg19465605,0.0003656080838562272,0.03656080838562272
Methylation_cg10150813,0.00035332215111268307,0.03533221511126831
Gene_KCNMB1,0.00035254253437587456,0.03525425343758746
Methylation_cg09852221,0.0003510523766879131,0.03510523766879131
Gene_GUCY1A1,0.0003322667932100846,0.03322667932100846
Gene_FXYD1,0.000329579395426788,0.032957939542678796
Gene_LIMS2,0.00032211796917679266,0.03221179691767927
Gene_CPEB1,0.0003173674656125825,0.03173674656125825
Methylation_cg12787209,0.00031454250697734033,0.03145425069773403
Methylation_cg14285050,0.00031088653261954305,0.031088653261954306
Gene_TNS1,0.00029489414694894143,0.029489414694894144
Gene_FBLN5,0.0002926846110482771,0.02926846110482771
Gene_GPRASP1,0.00028599033816425123,0.028599033816425125
Methylation_cg15164103,0.00028237187448638604,0.028237187448638602
