Feature,Importance,Percentage
Methylation_cg00445755,0.018785015,1.8785014
Methylation_cg22540514,0.017187906,1.7187907
Methylation_cg07482257,0.012822278,1.2822278
Methylation_cg20069407,0.010392004,1.0392004
Methylation_cg14195115,0.01035706,1.0357059
Methylation_cg08627912,0.010019104,1.0019104
Methylation_cg08615354,0.008477605,0.8477605
Methylation_cg00922200,0.008305786,0.8305786
Methylation_cg05337387,0.00823774,0.823774
Methylation_cg07172334,0.008200939,0.82009387
Methylation_cg25350011,0.007883743,0.78837436
Methylation_cg15405572,0.007065165,0.7065165
Methylation_cg05862393,0.006575619,0.6575619
Methylation_cg12205230,0.0061344323,0.61344326
Methylation_cg06294470,0.005015588,0.5015588
Methylation_cg26289665,0.0045999973,0.45999974
Methylation_cg20752683,0.004587105,0.4587105
Methylation_cg11611127,0.0040145656,0.40145656
Methylation_cg07712198,0.0039116414,0.39116415
Methylation_cg08194369,0.0038920224,0.38920224
Methylation_cg04654299,0.0037115703,0.37115702
Methylation_cg13800005,0.0032204445,0.32204446
Methylation_cg15593269,0.0023255574,0.23255575
Methylation_cg06118478,0.0022948838,0.22948839
Methylation_cg13716026,0.0008900268,0.089002684
Methylation_cg03631656,0.00046022964,0.046022963
Methylation_cg04462378,0.0,0.0
Methylation_cg18715243,0.0,0.0
Methylation_cg02546477,0.0,0.0
Methylation_cg17226446,0.0,0.0
Methylation_cg18977283,0.0,0.0
Methylation_cg26589351,0.0,0.0
Methylation_cg16209517,0.0,0.0
Methylation_cg03804732,0.0,0.0
Methylation_cg23908638,0.0,0.0
Methylation_cg01975858,0.0,0.0
Methylation_cg22444116,0.0,0.0
Methylation_cg19007141,0.0,0.0
Methylation_cg13827361,0.0,0.0
Methylation_cg22683277,0.0,0.0
Methylation_cg11191368,0.0,0.0
Methylation_cg13364558,0.0,0.0
Methylation_cg08916461,0.0,0.0
Methylation_cg05377839,0.0,0.0
Methylation_cg05227215,0.0,0.0
Methylation_cg12167489,0.0,0.0
Methylation_cg04697299,0.0,0.0
Methylation_cg21696987,0.0,0.0
Methylation_cg05027533,0.0,0.0
Methylation_cg19225602,0.0,0.0
Methylation_cg15171154,0.0,0.0
Methylation_cg07376732,0.0,0.0
Methylation_cg09419444,0.0,0.0
Methylation_cg09295050,0.0,0.0
Methylation_cg06640533,0.0,0.0
Methylation_cg15115171,0.0,0.0
Methylation_cg12300084,0.0,0.0
Methylation_cg05860371,0.0,0.0
Methylation_cg13782615,0.0,0.0
Methylation_cg23738585,0.0,0.0
Methylation_cg04017131,0.0,0.0
Methylation_cg21974506,0.0,0.0
Methylation_cg07748847,0.0,0.0
Methylation_cg13305415,0.0,0.0
Methylation_cg16330369,0.0,0.0
Methylation_cg00683980,0.0,0.0
Methylation_cg16516248,0.0,0.0
Methylation_cg00005112,0.0,0.0
Methylation_cg04036070,0.0,0.0
Methylation_cg20608075,0.0,0.0
Methylation_cg02402368,0.0,0.0
Methylation_cg20490392,0.0,0.0
Methylation_cg07109453,0.0,0.0
Methylation_cg24885556,0.0,0.0
Methylation_cg25364619,0.0,0.0
Methylation_cg08788712,0.0,0.0
Methylation_cg20119891,0.0,0.0
Methylation_cg20121927,0.0,0.0
Methylation_cg24134959,0.0,0.0
Methylation_cg16589830,0.0,0.0
Methylation_cg10395101,0.0,0.0
Methylation_cg14178043,0.0,0.0
Methylation_cg02372856,0.0,0.0
Methylation_cg20253105,0.0,0.0
Methylation_cg19190593,0.0,0.0
Methylation_cg15928680,0.0,0.0
Methylation_cg01578632,0.0,0.0
Methylation_cg07799299,0.0,0.0
Methylation_cg15087376,0.0,0.0
Methylation_cg09749364,0.0,0.0
Methylation_cg00187692,0.0,0.0
Methylation_cg05388880,0.0,0.0
Methylation_cg04982488,0.0,0.0
Methylation_cg05223392,0.0,0.0
Methylation_cg00685984,0.0,0.0
Methylation_cg17092985,0.0,0.0
Methylation_cg11234339,0.0,0.0
Methylation_cg00250409,0.0,0.0
Methylation_cg26832686,0.0,0.0
Methylation_cg14279361,0.0,0.0
