Feature,Importance,Percentage
Gene_AOC3,0.15899491,15.899491
Gene_CDO1,0.0913535,9.13535
Gene_PRELP,0.07774952,7.774952
Gene_TMEM47,0.052876532,5.287653
Gene_MGP,0.047735736,4.7735734
Gene_PDLIM3,0.043542884,4.3542886
Gene_PDZD4,0.037404258,3.7404258
Gene_CLIP3,0.035776295,3.5776296
Gene_PLN,0.030180147,3.0180147
Gene_KCNE4,0.018569563,1.8569562
Gene_HAND2-AS1,0.018227383,1.8227384
Methylation_cg07380095,0.018037682,1.8037683
Methylation_cg11260715,0.0155626545,1.5562655
Gene_ARHGAP20,0.015215974,1.5215974
Gene_TIMP2,0.014373547,1.4373547
Methylation_cg02856716,0.0140040545,1.4004054
Methylation_cg01745499,0.0131704165,1.3170416
Gene_SRPX,0.0127865365,1.2786536
Gene_FGF7,0.012733828,1.2733828
Methylation_cg03318904,0.011747083,1.1747082
Gene_ACTA2-AS1,0.010755407,1.0755407
Methylation_cg08954353,0.010639913,1.0639913
Gene_HSPB7,0.010371313,1.0371313
Gene_FLNA,0.009936448,0.99364483
Gene_BOC,0.0098489355,0.98489356
Methylation_cg08847775,0.009627949,0.96279496
Methylation_cg26015384,0.009026477,0.90264773
Gene_HAND2,0.008951474,0.8951474
Methylation_cg10982443,0.008338148,0.8338148
Gene_PKD2,0.008308945,0.83089453
Methylation_cg10150813,0.0073009343,0.7300934
Gene_TMEM35A,0.0070826793,0.7082679
Methylation_cg01341751,0.0069670193,0.69670194
Gene_CSDC2,0.006964786,0.6964786
Methylation_cg05656364,0.006553265,0.6553265
Gene_INMT,0.0063703274,0.63703275
Gene_SSPN,0.006256476,0.6256476
Gene_TCEAL7,0.00610661,0.610661
Gene_LINC00924,0.0060661966,0.60661966
Methylation_cg16143804,0.0059191356,0.5919136
Gene_NDN,0.005819917,0.58199173
Gene_TAGLN,0.005369027,0.5369027
Gene_CRYAB,0.0053647337,0.5364734
Methylation_cg25858249,0.0053061033,0.5306103
Gene_MIR99AHG,0.0051519186,0.51519185
Gene_FXYD1,0.0050464487,0.5046449
Methylation_cg20043649,0.005008334,0.5008334
Methylation_cg03619586,0.0049836696,0.49836695
Methylation_cg21450888,0.004840892,0.4840892
Methylation_cg02130107,0.0047757374,0.47757375
Gene_C14orf132,0.0047270376,0.47270375
Gene_COX7A1,0.0045157657,0.45157656
Methylation_cg11366178,0.004175197,0.4175197
Gene_PRKD1,0.004109464,0.4109464
Gene_COPZ2,0.0041064653,0.41064653
Gene_RSPO3,0.0039648563,0.39648563
Gene_HMCN1,0.0039588106,0.39588106
Gene_SCN2B,0.0038998423,0.38998422
Gene_FRMD6,0.0038409436,0.38409436
Gene_C8orf88,0.0034642208,0.34642208
Gene_CNTN1,0.003435679,0.3435679
Methylation_cg15017067,0.0026999803,0.269998
Methylation_cg19706390,0.0,0.0
Methylation_cg04255276,0.0,0.0
Gene_LINC01140,0.0,0.0
Methylation_cg17033166,0.0,0.0
Methylation_cg18921306,0.0,0.0
Methylation_cg18720486,0.0,0.0
Methylation_cg09852221,0.0,0.0
Methylation_cg06750897,0.0,0.0
Methylation_cg10532384,0.0,0.0
Methylation_cg25212131,0.0,0.0
Methylation_cg13708301,0.0,0.0
Methylation_cg03293507,0.0,0.0
Methylation_cg06345789,0.0,0.0
Methylation_cg12787209,0.0,0.0
Methylation_cg24699296,0.0,0.0
Methylation_cg01007345,0.0,0.0
Gene_PABPC4L,0.0,0.0
Methylation_cg16653138,0.0,0.0
Gene_CARMN,0.0,0.0
Gene_STON1,0.0,0.0
Gene_LHFPL6,0.0,0.0
Gene_OLFML1,0.0,0.0
Gene_NAP1L3,0.0,0.0
Methylation_cg22531371,0.0,0.0
Gene_COL14A1,0.0,0.0
Methylation_cg21091985,0.0,0.0
Gene_KIAA0408,0.0,0.0
Gene_LAMA2,0.0,0.0
Gene_KANK2,0.0,0.0
Gene_DACT3,0.0,0.0
Gene_MFAP5,0.0,0.0
Methylation_cg12593515,0.0,0.0
Gene_GPRASP1,0.0,0.0
Methylation_cg01783679,0.0,0.0
Gene_LAYN,0.0,0.0
Gene_S1PR3,0.0,0.0
Gene_CPEB1,0.0,0.0
Gene_DNM3OS,0.0,0.0
Gene_LINC00702,0.0,0.0
Gene_TWIST2,0.0,0.0
Gene_MAGI2-AS3,0.0,0.0
Methylation_cg23090870,0.0,0.0
Gene_NR2F1-AS1,0.0,0.0
Gene_ARHGEF25,0.0,0.0
Methylation_cg11613559,0.0,0.0
Methylation_cg05486094,0.0,0.0
Methylation_cg03713668,0.0,0.0
Methylation_cg20617917,0.0,0.0
Methylation_cg19774782,0.0,0.0
Methylation_cg02764093,0.0,0.0
Methylation_cg15975802,0.0,0.0
Methylation_cg07004950,0.0,0.0
Methylation_cg04792034,0.0,0.0
Methylation_cg19635505,0.0,0.0
Methylation_cg17004025,0.0,0.0
Methylation_cg17183905,0.0,0.0
Methylation_cg01488159,0.0,0.0
Methylation_cg08018825,0.0,0.0
Methylation_cg03018679,0.0,0.0
Methylation_cg08107308,0.0,0.0
Methylation_cg17176423,0.0,0.0
Methylation_cg08131309,0.0,0.0
Methylation_cg01877606,0.0,0.0
Methylation_cg01734062,0.0,0.0
Methylation_cg17147526,0.0,0.0
Methylation_cg24171453,0.0,0.0
Methylation_cg06333800,0.0,0.0
