Feature,Importance,Percentage
Gene_FGF2,0.056107186,5.6107187
Gene_RFTN2,0.049780805,4.9780803
Gene_LAMA4,0.049177423,4.9177423
Methylation_cg23908638,0.046413843,4.641384
Gene_ZNF75D,0.04113438,4.113438
Gene_SRGN,0.029957341,2.9957342
Methylation_cg00610577,0.029481973,2.9481974
Methylation_cg22683277,0.027461251,2.7461252
Gene_WNK4,0.026528481,2.6528482
Gene_SPARCL1,0.026419686,2.6419687
Gene_CD1D,0.026061796,2.6061795
Gene_PTPRZ1,0.023781978,2.3781977
Gene_HHATL,0.019816732,1.9816732
Gene_GNG2,0.019745583,1.9745582
Gene_MICAL1,0.018968146,1.8968146
Gene_RHOJ,0.01872832,1.872832
Gene_GOLGA7B,0.01756089,1.756089
Gene_PKMP3,0.01752355,1.752355
Gene_LINC00243,0.017137317,1.7137316
Methylation_cg07748847,0.015779536,1.5779536
Gene_LINC02104,0.015424741,1.5424742
Gene_BTN3A2,0.015397,1.5397
Methylation_cg06640533,0.014140345,1.4140345
Methylation_cg20253105,0.014008265,1.4008265
Gene_HPN,0.013852136,1.3852136
Gene_SPPL2B,0.013412983,1.3412983
Gene_CSGALNACT1,0.012921612,1.2921612
Gene_ABCA8,0.012707649,1.2707648
Gene_SNX22,0.012560832,1.2560833
Gene_RTL9,0.012525058,1.2525058
Gene_CAPG,0.0124814175,1.2481418
Gene_CLMN,0.012364733,1.2364733
Gene_GSTP1,0.01231325,1.231325
Methylation_cg04982488,0.012107726,1.2107726
Gene_PCDHGB9P,0.011712881,1.1712881
Gene_P2RX6,0.011167292,1.1167291
Gene_TFPI,0.010909819,1.090982
Gene_LRRK2,0.0106702885,1.0670289
Gene_LINC02473,0.010334104,1.0334104
Methylation_cg26938676,0.010112919,1.0112919
Gene_CFI,0.0094999,0.94999003
Methylation_cg01862311,0.00927952,0.92795205
Gene_SFRP1,0.00880216,0.88021594
Gene_ARHGEF6,0.008017528,0.8017528
Gene_GPR34,0.00800675,0.800675
Gene_PHEX,0.0077696503,0.776965
Methylation_cg12300084,0.0074539375,0.74539375
Gene_TENT5C,0.0072062635,0.72062635
Gene_SNTB1,0.007104898,0.7104898
Gene_TMEM221,0.0070349798,0.703498
Methylation_cg07376732,0.006835429,0.6835429
Gene_TIAM2,0.0062063155,0.6206316
Gene_MAML3,0.006081014,0.60810137
Gene_XKR6,0.0055603473,0.55603474
Gene_POU3F3,0.0055567254,0.5556725
Gene_ITM2B,0.0047374433,0.47374433
Methylation_cg03804732,0.0045191413,0.45191413
Gene_ANGPTL7,0.004340609,0.4340609
Gene_ST6GAL1,0.004120705,0.4120705
Methylation_cg07799299,0.0037334566,0.37334567
Methylation_cg00421624,0.0034972068,0.3497207
Methylation_cg04654299,0.0032616307,0.32616305
Gene_RBL2,0.0031132097,0.31132096
Methylation_cg18872420,0.0029717756,0.29717755
Gene_SYT17,0.0026731272,0.26731274
Gene_EPHX1,0.0024740098,0.24740097
Methylation_cg07172334,0.0024248143,0.24248143
Gene_SPP1,0.002402521,0.24025209
Methylation_cg07482257,0.0023443943,0.23443943
Gene_OR7E7P,0.002174241,0.2174241
Gene_SLC44A2,0.0021073585,0.21073586
Gene_LNCRNA-IUR,0.001977511,0.1977511
Gene_TTC23-AS1,0.0017633034,0.17633034
Gene_HGF,0.0017576003,0.17576003
Methylation_cg05337387,0.0017245878,0.17245877
Gene_TNFSF18,0.0016004598,0.16004598
