Feature,Importance,Percentage
Gene_KCNJ8,0.10749879,10.74988
Gene_NEXN,0.07993442,7.9934425
Gene_HACD4,0.0658143,6.581431
Gene_ISL1-DT,0.059020553,5.902056
Gene_CNRIP1,0.05704559,5.70456
Gene_SMIM10,0.05262456,5.262457
Gene_MAGI2-AS3,0.03516187,3.5161874
Gene_DKK3,0.0335311,3.3531103
Gene_EYA4,0.025049888,2.5049891
Gene_EDNRA,0.022671768,2.267177
Gene_SPARCL1,0.022651512,2.2651515
Gene_GFPT2,0.02171903,2.1719031
Gene_SERPING1,0.020616738,2.061674
Gene_CACNA2D3,0.019956915,1.9956917
Gene_PDE5A,0.018908171,1.8908173
Gene_TMEM200B,0.018803433,1.8803434
Methylation_cg09681300,0.017064631,1.7064633
Methylation_cg07185041,0.016651925,1.6651926
Gene_CAVIN1,0.0165497,1.6549703
Gene_TCEAL7,0.014019583,1.4019585
Methylation_cg03651886,0.012646497,1.2646499
Gene_IGFBP4,0.012004746,1.2004747
Methylation_cg27531366,0.010974728,1.0974729
Gene_LINC00857,0.010804901,1.0804902
Methylation_cg09304381,0.0107117845,1.0711786
Gene_AGPAT4,0.010658586,1.0658587
Gene_CCDC80,0.010538652,1.0538652
Gene_SLC16A4,0.010500388,1.0500389
Gene_FGF2,0.0104523655,1.0452366
Methylation_cg02856716,0.009921403,0.99214035
Gene_SERPINF1,0.009638438,0.9638439
Gene_CLDN11,0.008148294,0.81482947
Gene_ABCC9,0.008076121,0.8076122
Gene_GYPC,0.0076812264,0.76812273
Gene_RBMS3,0.0063699777,0.6369979
Methylation_cg17552357,0.006357832,0.63578326
Methylation_cg16438182,0.006274899,0.62749
Gene_EFEMP2,0.006178587,0.6178588
Methylation_cg15511120,0.0060639023,0.6063903
Methylation_cg18921306,0.005989017,0.5989018
Gene_RGS9,0.0059077507,0.59077513
Gene_NAALADL1,0.005441505,0.54415053
Methylation_cg18113295,0.005397677,0.53976774
Methylation_cg06790581,0.0053884946,0.53884953
Gene_DNM3OS,0.005325764,0.53257644
Methylation_cg10914815,0.005214718,0.52147186
Gene_TIMP3,0.004991962,0.49919626
Methylation_cg03612357,0.004491326,0.44913265
Methylation_cg18857467,0.004306242,0.43062425
Gene_PRKG1,0.0043043704,0.4304371
Methylation_cg04133658,0.0042205374,0.42205378
Gene_ACSS3,0.0041224845,0.4122485
Methylation_cg15646741,0.0037334687,0.37334692
Gene_CCDC8,0.0036324034,0.3632404
Gene_FBLN1,0.0036235484,0.36235487
Gene_RP9P,0.0033073404,0.3307341
Gene_SLC47A1,0.0028142352,0.28142354
Gene_MITF,0.002637904,0.26379043
Methylation_cg16274024,0.0023721806,0.23721808
Methylation_cg12795893,0.0021927815,0.21927817
Methylation_cg02030908,0.0020542382,0.20542385
Methylation_cg18575863,0.0020382316,0.20382318
Methylation_cg18503912,0.0019358338,0.1935834
Gene_INMT,0.0019009294,0.19009297
Gene_CLU,0.0016908332,0.16908334
Gene_NRP2,0.0016663761,0.16663763
Methylation_cg26415787,0.0,0.0
Methylation_cg22374586,0.0,0.0
Methylation_cg05115862,0.0,0.0
Methylation_cg24902842,0.0,0.0
Methylation_cg04717534,0.0,0.0
Methylation_cg05047401,0.0,0.0
Methylation_cg25083618,0.0,0.0
Methylation_cg20866932,0.0,0.0
Methylation_cg20782117,0.0,0.0
Gene_DBNDD2,0.0,0.0
Methylation_cg15574321,0.0,0.0
Methylation_cg19839325,0.0,0.0
Gene_C3orf70,0.0,0.0
Gene_PRELP,0.0,0.0
Gene_NKAPL,0.0,0.0
Gene_PDLIM7,0.0,0.0
Gene_ANXA6,0.0,0.0
Gene_KANK2,0.0,0.0
Gene_DACT3,0.0,0.0
Gene_PLN,0.0,0.0
Gene_CCDC69,0.0,0.0
Gene_GPRASP1,0.0,0.0
Gene_NHSL2,0.0,0.0
Gene_LAYN,0.0,0.0
Gene_PNMA8B,0.0,0.0
Gene_CYS1,0.0,0.0
Gene_ITGA1,0.0,0.0
Gene_TWIST2,0.0,0.0
Gene_ADAMTS9-AS2,0.0,0.0
Methylation_cg22875872,0.0,0.0
Gene_CARMN,0.0,0.0
Gene_C8orf88,0.0,0.0
Gene_PABPC1P4,0.0,0.0
Gene_FENDRR,0.0,0.0
Methylation_cg11994630,0.0,0.0
Methylation_cg05971521,0.0,0.0
Gene_CFH,0.0,0.0
Methylation_cg02928928,0.0,0.0
Methylation_cg01022670,0.0,0.0
Methylation_cg12636499,0.0,0.0
Methylation_cg09367967,0.0,0.0
Methylation_cg25224048,0.0,0.0
Methylation_cg24067652,0.0,0.0
Methylation_cg11609668,0.0,0.0
Methylation_cg07581811,0.0,0.0
Methylation_cg26174326,0.0,0.0
Methylation_cg11619922,0.0,0.0
Methylation_cg04540882,0.0,0.0
Methylation_cg10259004,0.0,0.0
Methylation_cg02660440,0.0,0.0
Methylation_cg05142520,0.0,0.0
Methylation_cg06783429,0.0,0.0
Methylation_cg14991004,0.0,0.0
Methylation_cg14987431,0.0,0.0
Methylation_cg01114124,0.0,0.0
Methylation_cg15972264,0.0,0.0
Methylation_cg21663666,0.0,0.0
Methylation_cg20817941,0.0,0.0
Methylation_cg26251854,0.0,0.0
Methylation_cg19927816,0.0,0.0
Methylation_cg11050988,0.0,0.0
Methylation_cg03001333,0.0,0.0
Methylation_cg04811592,0.0,0.0
Methylation_cg01341751,0.0,0.0
Methylation_cg20802392,0.0,0.0
Methylation_cg23068797,0.0,0.0
Methylation_cg14400030,0.0,0.0
Methylation_cg12593515,0.0,0.0
Methylation_cg26127114,0.0,0.0
Methylation_cg17073859,0.0,0.0
Methylation_cg02630477,0.0,0.0
Methylation_cg18990050,0.0,0.0
Methylation_cg18139641,0.0,0.0
Methylation_cg01236063,0.0,0.0
Methylation_cg25469418,0.0,0.0
Methylation_cg17217691,0.0,0.0
Methylation_cg05720733,0.0,0.0
Methylation_cg15735240,0.0,0.0
Methylation_cg14414903,0.0,0.0
Methylation_cg24092000,0.0,0.0
Methylation_cg14029001,0.0,0.0
Methylation_cg13068653,0.0,0.0
Methylation_cg14954740,0.0,0.0
Methylation_cg19238840,0.0,0.0
Methylation_cg13280041,0.0,0.0
Methylation_cg09310065,0.0,0.0
Methylation_cg01105356,0.0,0.0
Methylation_cg16034168,0.0,0.0
Methylation_cg27244773,0.0,0.0
Methylation_cg21410293,0.0,0.0
Methylation_cg22644320,0.0,0.0
Methylation_cg04792034,0.0,0.0
Methylation_cg13983182,0.0,0.0
Methylation_cg19406367,0.0,0.0
Methylation_cg05711445,0.0,0.0
Methylation_cg10094238,0.0,0.0
Methylation_cg20048045,0.0,0.0
Methylation_cg12410980,0.0,0.0
Methylation_cg24586039,0.0,0.0
Methylation_cg16073408,0.0,0.0
Gene_TMLHE,0.0,0.0
Gene_HSPB7,0.0,0.0
Gene_SLC24A3,0.0,0.0
Gene_PTGIS,0.0,0.0
Gene_MPP2,0.0,0.0
Gene_PMP22,0.0,0.0
Gene_LAMA4,0.0,0.0
Gene_RASGRF2,0.0,0.0
Gene_DPYSL3,0.0,0.0
Gene_FHL2,0.0,0.0
Gene_PRRX1,0.0,0.0
Gene_CCND2,0.0,0.0
Gene_GLT8D2,0.0,0.0
Gene_POPDC2,0.0,0.0
Gene_CHST3,0.0,0.0
Gene_SSPN,0.0,0.0
Gene_NECAB1,0.0,0.0
Gene_ITIH5,0.0,0.0
Gene_FLNC,0.0,0.0
Gene_FAM162B,0.0,0.0
Gene_PALLD,0.0,0.0
Gene_CNN1,0.0,0.0
Gene_RGN,0.0,0.0
Gene_AOC3,0.0,0.0
Gene_MATN2,0.0,0.0
Gene_NES,0.0,0.0
Gene_SYT11,0.0,0.0
Gene_BHMT2,0.0,0.0
Gene_TRPC4,0.0,0.0
Gene_MYH11,0.0,0.0
Gene_TSPAN2,0.0,0.0
Gene_GSTM5,0.0,0.0
Gene_NT5E,0.0,0.0
Gene_ITGA7,0.0,0.0
Gene_ACTA2,0.0,0.0
Gene_NCS1,0.0,0.0
Gene_OGN,0.0,0.0
Gene_CAV1,0.0,0.0
