Feature,Importance,Percentage
Gene_LINC00924,0.8121572918262536,1.6594148551411096
Methylation_cg06380725,0.7705072416603439,1.5743146994714259
Gene_TMEM35A,0.6848891409527028,1.39937820673398
Methylation_cg23090870,0.5985333765541369,1.2229345058496166
Gene_BEND6,0.5885633319487665,1.2025635256330032
Methylation_cg09533145,0.587025180375585,1.1994207457852024
Gene_INMT,0.5651910480342656,1.1548088412675075
Gene_PABPC5,0.4834767600092145,0.9878486910715554
Gene_TNFAIP8L3,0.4777191328521284,0.9760846003824866
Methylation_cg04723343,0.4461492652071207,0.9115804607629757
Methylation_cg27647370,0.4093117162784261,0.8363132969580354
Gene_MGP,0.4008296849460162,0.8189826530834687
Gene_SCRG1,0.3999167617497563,0.817117351461821
Gene_AOC3,0.3944480144110433,0.8059435053802726
Gene_JAM2,0.38785314354609796,0.7924687428051324
Gene_SRPX,0.38544663390635836,0.7875517176359753
Gene_FXYD1,0.3845916959800776,0.7858048925943584
Gene_COX7A1,0.3841034989629629,0.7848073993863445
Gene_VSTM4,0.3765723916932948,0.7694197012092505
Gene_MAP1A,0.3749274656150595,0.7660587577106152
Gene_SSPN,0.3686077277338373,0.7531461519552493
Methylation_cg07145664,0.36607246435343654,0.7479660547530531
Gene_ADGRB3,0.34643949249139794,0.707851602187867
Methylation_cg18881778,0.3358186429120225,0.6861508851671483
Gene_CNTN1,0.33512159890972165,0.684726671922071
Gene_CDO1,0.3325544611319245,0.6794814483594143
Methylation_cg06215107,0.33166186457889385,0.6776576785125461
Gene_COPZ2,0.32857918169291417,0.6713590836145293
Gene_CNRIP1,0.32763935261485755,0.6694388073957273
Gene_GPRASP1,0.3274956690326644,0.6691452304333201
Gene_SCN2B,0.3253405921835928,0.6647419374095284
Methylation_cg25212131,0.32292431524891574,0.6598049555220398
Gene_NEXN,0.3223687182405551,0.6586697494007323
Methylation_cg19509663,0.3221723382653659,0.6582685021899263
Gene_DCLK2,0.3171048711578812,0.6479145593259891
