Feature,Importance,Percentage
Gene_XYLT1,0.06986352,6.986352
Gene_ATP1B2,0.06103512,6.103512
Gene_LRRC17,0.055610646,5.5610647
Gene_FGF2,0.05091319,5.091319
Gene_PIK3CD,0.036437858,3.6437857
Gene_LAMA4,0.036367577,3.6367576
Gene_ALDH1A1,0.036117785,3.6117785
Gene_SLC22A17,0.034155898,3.4155898
Gene_IGFBP2,0.028338315,2.8338315
Gene_HBEGF,0.024991026,2.4991026
Gene_ZEB1,0.022932317,2.2932317
Gene_TECTA,0.019886274,1.9886274
Methylation_cg00445755,0.018785015,1.8785014
Gene_MAP3K7CL,0.01855629,1.855629
Gene_CCDC146,0.017666742,1.7666743
Methylation_cg22540514,0.017187906,1.7187907
Gene_PPP2R2B,0.016496612,1.6496612
Gene_SLIT2,0.016380573,1.6380572
Gene_TNFSF18,0.015972903,1.5972903
Gene_SCD5,0.01578287,1.578287
Gene_GNG2,0.014550496,1.4550496
Gene_TLCD2,0.014522956,1.4522955
Gene_ABCA6,0.013477556,1.3477557
Gene_VPS13B,0.013233601,1.3233601
Methylation_cg07482257,0.012822278,1.2822278
Gene_LINC02104,0.012734887,1.2734888
Gene_ITIH6,0.012726313,1.2726313
Gene_SPP1,0.0123427445,1.2342745
Gene_NAPEPLD,0.012153395,1.2153395
Gene_PTPRZ1,0.01155004,1.155004
Gene_KHDRBS3,0.011235345,1.1235346
Gene_ERRFI1,0.01104245,1.104245
Gene_SULT1A1,0.010395356,1.0395356
Methylation_cg20069407,0.010392004,1.0392004
Methylation_cg14195115,0.01035706,1.0357059
Methylation_cg08627912,0.010019104,1.0019104
Gene_SPTBN5,0.009217608,0.9217608
Methylation_cg08615354,0.008477605,0.8477605
Methylation_cg00922200,0.008305786,0.8305786
Gene_GDNF-AS1,0.008295274,0.82952744
Methylation_cg05337387,0.00823774,0.823774
Methylation_cg07172334,0.008200939,0.82009387
Methylation_cg25350011,0.007883743,0.78837436
Gene_RTL9,0.007219808,0.7219808
Methylation_cg15405572,0.007065165,0.7065165
Methylation_cg05862393,0.006575619,0.6575619
Gene_NKAIN3,0.0065752417,0.65752417
Gene_ARL15,0.0065112794,0.65112793
Gene_TLE4,0.006497214,0.6497214
Gene_SPRY3,0.006432434,0.64324343
Methylation_cg12205230,0.0061344323,0.61344326
Gene_TTN-AS1,0.0056314417,0.56314415
Gene_ELOVL2,0.005026586,0.5026586
Methylation_cg06294470,0.005015588,0.5015588
Gene_KCNAB2,0.0048361453,0.48361453
Gene_ZNF177,0.0047831964,0.47831964
Methylation_cg26289665,0.0045999973,0.45999974
Methylation_cg20752683,0.004587105,0.4587105
Gene_PCDHB12,0.0040826085,0.40826085
Methylation_cg11611127,0.0040145656,0.40145656
Methylation_cg07712198,0.0039116414,0.39116415
Methylation_cg08194369,0.0038920224,0.38920224
Gene_PDGFA,0.0037301334,0.37301335
Methylation_cg04654299,0.0037115703,0.37115702
Gene_TSPYL2,0.0035248399,0.352484
Gene_GLIDR,0.0034484074,0.34484074
Methylation_cg13800005,0.0032204445,0.32204446
Gene_SLC44A2,0.0026438131,0.26438132
Methylation_cg15593269,0.0023255574,0.23255575
Methylation_cg06118478,0.0022948838,0.22948839
Gene_EPN2,0.0018409225,0.18409225
Gene_MAP2,0.0016736508,0.16736507
Gene_WNK4,0.0010631832,0.10631832
Methylation_cg13716026,0.0008900268,0.089002684
Methylation_cg03631656,0.00046022964,0.046022963
Gene_CAVIN2,0.00012749735,0.012749734
Gene_CFI,0.0,0.0
Methylation_cg04462378,0.0,0.0
Gene_WARS2-IT1,0.0,0.0
Gene_MIR503HG,0.0,0.0
Gene_CASP12,0.0,0.0
Methylation_cg18715243,0.0,0.0
Methylation_cg02546477,0.0,0.0
Methylation_cg17226446,0.0,0.0
Gene_PCBP3-AS1,0.0,0.0
Gene_LRRC37A11P,0.0,0.0
