Feature,Importance,Percentage
Gene_SNX22,0.027131932511428803,2.7131932511428802
Gene_FGF2,0.02215834253289325,2.215834253289325
Gene_LAMA4,0.021760128651516542,2.1760128651516544
Methylation_cg23908638,0.02017180755677847,2.017180755677847
Methylation_cg04982488,0.02006060491872459,2.006060491872459
Gene_MSANTD2-AS1,0.019508261040225763,1.9508261040225763
Gene_IL6ST,0.018743635453709905,1.8743635453709904
Gene_SLC22A17,0.018724267824540418,1.8724267824540417
Gene_SPPL2B,0.018713823258475815,1.8713823258475815
Gene_WNK4,0.016097292333636125,1.6097292333636124
Gene_GOLGA7B,0.015280782184616322,1.5280782184616322
Gene_PPP2R2B,0.015193237891051101,1.5193237891051101
Methylation_cg05860371,0.014707052471166337,1.4707052471166338
Gene_SPRY4,0.013840183728327082,1.3840183728327082
Gene_LGI4,0.013790871271134429,1.3790871271134428
Gene_RBL2,0.01334965868281716,1.334965868281716
Gene_TERF1,0.013174942130757145,1.3174942130757146
Gene_MAP3K7CL,0.012837310442031432,1.283731044203143
Gene_PTPRZ1,0.012774795470751821,1.277479547075182
Gene_PLP1,0.012730341530859689,1.2730341530859688
Gene_SRGN,0.012509404152245747,1.2509404152245747
Gene_FHDC1,0.011918034698941753,1.1918034698941753
Methylation_cg18740800,0.011486269490081673,1.1486269490081673
Gene_FREM2,0.011434471211126077,1.1434471211126076
Gene_RBMS3,0.010855153359728687,1.0855153359728686
Gene_CLK4,0.010550693880302888,1.0550693880302888
Gene_LPAR6,0.010424881974059559,1.0424881974059559
Gene_PIK3CD,0.010180484336236091,1.018048433623609
Gene_RFTN2,0.010028379123630842,1.0028379123630842
Gene_TMT1A,0.009847997705983038,0.9847997705983038
Gene_ITIH6,0.008869107232914784,0.8869107232914784
Methylation_cg08627912,0.008653821131392818,0.8653821131392817
Gene_ZEB1,0.008462987443965704,0.8462987443965705
Gene_EPN2,0.00833240628293351,0.8332406282933511
Gene_ZNF75D,0.008214594430950538,0.8214594430950538
Gene_LY96,0.007959793705734354,0.7959793705734355
