Feature,Importance,Percentage
Gene_PRR5-ARHGAP8,0.2860042090835275,1.4145825849193907
Gene_HGF,0.26560929438115327,1.3137089255724077
Gene_KRTAP19-1,0.25658431512356716,1.2690711961909091
Methylation_cg04654299,0.23691370326155484,1.1717799532967006
Gene_GOLGA7B,0.23560723171461334,1.165318118682734
Methylation_cg20253105,0.22392026182770922,1.1075141299740794
Methylation_cg00610577,0.22221285178972217,1.099069245499153
Gene_PCDHGB9P,0.21883429226432516,1.0823588219635878
Methylation_cg23197862,0.21483263848727752,1.0625665616957143
Gene_PCDH12,0.2123257188612919,1.0501672866777854
Gene_SPP1,0.20023019846572834,0.9903425989155695
Methylation_cg26320219,0.19709699278332546,0.9748457004345994
Gene_RTL9,0.17158252708458172,0.8486506386324659
Methylation_cg07712198,0.16892033109513307,0.835483363589963
Methylation_cg19273495,0.16486564566566655,0.8154288076999321
Gene_SERPINH1,0.1607070532866561,0.7948603259423483
Gene_CAPG,0.15897733199228425,0.786305089543474
Methylation_cg13675837,0.15824903247274655,0.7827029054349097
Gene_NMRK2,0.1564009499982807,0.773562252252737
Gene_GLIDR,0.14800083394617353,0.7320151088848494
Gene_PCDHB14,0.1466219428882505,0.7251950859093508
Gene_GSTO1,0.14405643325766107,0.7125060235472829
Methylation_cg04145621,0.1420916249599719,0.7027880420898684
Gene_FREM2,0.14137698054277534,0.6992533963928154
Gene_FILIP1,0.1407357422327203,0.6960818187817948
Gene_SPRY3,0.1403910178881697,0.6943768052228628
Methylation_cg04350675,0.1380337081260684,0.6827175036083363
Gene_DLG4,0.13632657319476169,0.674273979816598
Gene_SHROOM4,0.1362886427289635,0.6740863749679562
Gene_TRIM5,0.13605618585262455,0.6729366385704831
Gene_CLMN,0.13547223517121015,0.6700484067258274
Gene_BDNF,0.1338422795514457,0.6619866133651678
Gene_PXDN,0.13217948348377392,0.6537623904869864
Gene_LAMB1,0.13080041853964344,0.6469415074667995
Gene_PKMYT1,0.12821864542951117,0.634172005606987
Gene_LINC02552,0.1257910195859204,0.6221649192356085
Methylation_cg18752880,0.12490742959287153,0.6177946653138876
Methylation_cg08012294,0.12079263327669935,0.5974427997661758
Gene_SMIM7,0.11941228829088725,0.5906155856340216
Gene_ALDH3A2,0.1187391708635988,0.5872863332663758
Gene_GSE1,0.1177050700861784,0.5821716499703574
Gene_LINC00520,0.11741889675130433,0.5807562308858678
Gene_PCBP3-AS1,0.11725927454179266,0.5799667362191105
Gene_WNK4,0.11687925430312805,0.5780871484562086
Gene_ZFP36L1,0.11513263752977583,0.5694483466776286
Methylation_cg20390052,0.11467509018381153,0.567185308278819
Gene_ADAMTSL1,0.11378311281571774,0.5627735702310086
Gene_SORBS2,0.11104487501890895,0.5492301908760477
Gene_GDNF,0.11049227625151944,0.5464970262303176
Gene_ZEB1-AS1,0.11031044523940507,0.5455976863780844
Gene_DIXDC1,0.10900114040828006,0.5391218382834174
Gene_SPATA9,0.10888673003971758,0.5385559622936154
Gene_CFI,0.10785895978177054,0.5334725898745565
Gene_FLT1,0.10416200712269248,0.5151873874799443
Gene_STON1,0.10369150270964832,0.5128602631661003
Methylation_cg10324158,0.10343653968254675,0.5115992108931567
Gene_GASK1B,0.10297295128419331,0.5093062933274229
