Feature,Importance,Percentage
Gene_ACTA2,0.1421249,14.212491
Gene_BOC,0.10068201,10.068201
Gene_PDLIM3,0.059421882,5.9421883
Gene_INMT,0.051832806,5.1832805
Gene_RNF150,0.045737974,4.573797
Gene_MGP,0.04469295,4.469295
Gene_CDO1,0.04283398,4.283398
Methylation_cg07380095,0.03758044,3.7580442
Gene_RSPO3,0.03202574,3.202574
Gene_CLIP3,0.022190055,2.2190056
Methylation_cg02856716,0.019849425,1.9849426
Gene_HAND2,0.017692817,1.7692817
Methylation_cg03318904,0.016669406,1.6669406
Gene_PABPC4L,0.015979636,1.5979637
Gene_PDZD4,0.0146298045,1.4629805
Methylation_cg21880476,0.013722041,1.3722041
Gene_STON1,0.013582934,1.3582934
Gene_IGFBP7,0.013377507,1.3377507
Methylation_cg01341751,0.012385472,1.2385472
Gene_PRELP,0.011922001,1.1922001
Gene_KCNE4,0.011209399,1.12094
Gene_CRYAB,0.010834049,1.0834049
Gene_SSPN,0.01082614,1.082614
Methylation_cg04614923,0.009321502,0.93215024
Gene_FHL1,0.008869339,0.88693386
Gene_OMD,0.0087170405,0.87170404
Gene_COPZ2,0.008485221,0.8485221
Gene_FLNA,0.008222978,0.82229775
Gene_TGFB1I1,0.0081951795,0.81951797
Gene_MFAP5,0.008021214,0.8021214
Methylation_cg08847775,0.007874048,0.78740484
Methylation_cg08147181,0.0076803137,0.76803136
Methylation_cg11366178,0.00737302,0.737302
Methylation_cg08131309,0.0072538853,0.7253885
Methylation_cg18921306,0.006802638,0.6802638
Gene_ASPN,0.006664634,0.66646343
Methylation_cg23234674,0.0065290886,0.65290886
Gene_SCRG1,0.0065198736,0.6519874
Methylation_cg06345789,0.006485637,0.6485637
Methylation_cg16143804,0.006045722,0.6045722
Gene_PABPC5,0.005930276,0.5930276
Gene_HSPB7,0.0058313697,0.583137
Gene_ADGRB3,0.0058278954,0.58278954
Methylation_cg13599248,0.005636474,0.5636474
Gene_MYL9,0.0056039016,0.5603902
Methylation_cg17004025,0.0055970214,0.55970216
Gene_EMILIN1,0.0055393674,0.5539367
Methylation_cg10982443,0.0055194204,0.55194205
Methylation_cg03619586,0.005319152,0.5319152
Gene_GHR,0.004933993,0.4933993
Gene_TCEAL7,0.0047837794,0.47837794
Gene_IGF1,0.004628495,0.4628495
Gene_PTGER3,0.004520974,0.45209742
Methylation_cg13615963,0.004287571,0.42875713
Gene_PYGM,0.0038965386,0.38965386
Gene_GGT5,0.0037523382,0.37523383
Methylation_cg20244273,0.003697192,0.3697192
Methylation_cg07301329,0.0036878686,0.36878687
Gene_NECAB1,0.0036009627,0.36009628
Gene_C14orf132,0.0035725422,0.3572542
Gene_SERPING1,0.003283408,0.3283408
Methylation_cg20043649,0.003048623,0.3048623
Gene_MIR99AHG,0.0029541699,0.29541698
Methylation_cg05115375,0.002707411,0.2707411
Methylation_cg17998964,0.00097456615,0.09745661
Methylation_cg24699296,0.0,0.0
Gene_NAP1L3,0.0,0.0
Gene_MAGI2-AS3,0.0,0.0
Methylation_cg10532384,0.0,0.0
Methylation_cg24477401,0.0,0.0
Methylation_cg09852221,0.0,0.0
Methylation_cg06634862,0.0,0.0
Gene_FLRT2,0.0,0.0
Methylation_cg06750897,0.0,0.0
Gene_TCEAL2,0.0,0.0
Gene_COL14A1,0.0,0.0
Gene_PRKD1,0.0,0.0
Methylation_cg04255276,0.0,0.0
Gene_OLFML1,0.0,0.0
Methylation_cg08543028,0.0,0.0
Methylation_cg21450888,0.0,0.0
Methylation_cg01007345,0.0,0.0
Gene_LAMA2,0.0,0.0
Methylation_cg12787209,0.0,0.0
Gene_LINC01140,0.0,0.0
Gene_TWIST2,0.0,0.0
Gene_NR2F1-AS1,0.0,0.0
Gene_ARHGEF25,0.0,0.0
Gene_DNM3OS,0.0,0.0
Gene_CARMN,0.0,0.0
Gene_C8orf88,0.0,0.0
Gene_CPEB1,0.0,0.0
Gene_FXYD1,0.0,0.0
Gene_LAYN,0.0,0.0
Gene_FAM180A,0.0,0.0
Gene_GPRASP1,0.0,0.0
Gene_PLN,0.0,0.0
Gene_DACT3,0.0,0.0
Gene_KANK2,0.0,0.0
Methylation_cg19706390,0.0,0.0
Methylation_cg19599407,0.0,0.0
Methylation_cg25212131,0.0,0.0
Methylation_cg16166559,0.0,0.0
Gene_HAND2-AS1,0.0,0.0
Gene_HSPB6,0.0,0.0
Methylation_cg03713668,0.0,0.0
Methylation_cg24171453,0.0,0.0
Methylation_cg13977486,0.0,0.0
Methylation_cg25719851,0.0,0.0
Methylation_cg04723343,0.0,0.0
Methylation_cg08584759,0.0,0.0
Methylation_cg22500132,0.0,0.0
Methylation_cg05656364,0.0,0.0
Methylation_cg16653138,0.0,0.0
Methylation_cg13991834,0.0,0.0
Methylation_cg18586277,0.0,0.0
Methylation_cg22880770,0.0,0.0
Methylation_cg05233946,0.0,0.0
Methylation_cg17147526,0.0,0.0
Methylation_cg06720467,0.0,0.0
Methylation_cg08107308,0.0,0.0
Methylation_cg01994290,0.0,0.0
Methylation_cg14036402,0.0,0.0
Methylation_cg26938118,0.0,0.0
Methylation_cg00222472,0.0,0.0
Methylation_cg24300607,0.0,0.0
Methylation_cg16438182,0.0,0.0
Methylation_cg19530831,0.0,0.0
Methylation_cg20170271,0.0,0.0
Methylation_cg17033166,0.0,0.0
Methylation_cg11613559,0.0,0.0
Methylation_cg05486094,0.0,0.0
Methylation_cg01783679,0.0,0.0
Methylation_cg12593515,0.0,0.0
Methylation_cg06333800,0.0,0.0
Methylation_cg01734062,0.0,0.0
Methylation_cg19130973,0.0,0.0
Methylation_cg01877606,0.0,0.0
Methylation_cg01855070,0.0,0.0
Methylation_cg03339668,0.0,0.0
Methylation_cg07891533,0.0,0.0
Methylation_cg13695933,0.0,0.0
Methylation_cg11962640,0.0,0.0
Methylation_cg06215107,0.0,0.0
Methylation_cg15602512,0.0,0.0
Methylation_cg23213217,0.0,0.0
Methylation_cg09347959,0.0,0.0
Methylation_cg24579224,0.0,0.0
Methylation_cg15825304,0.0,0.0
Gene_LHFPL6,0.0,0.0
Methylation_cg05223396,0.0,0.0
Methylation_cg24899545,0.0,0.0
Methylation_cg12517027,0.0,0.0
Methylation_cg02764093,0.0,0.0
Methylation_cg04792034,0.0,0.0
Methylation_cg15602548,0.0,0.0
Methylation_cg17454592,0.0,0.0
Methylation_cg19635505,0.0,0.0
Methylation_cg00143527,0.0,0.0
Methylation_cg01488159,0.0,0.0
Methylation_cg08018825,0.0,0.0
Methylation_cg03018679,0.0,0.0
Methylation_cg25858249,0.0,0.0
Methylation_cg18899777,0.0,0.0
Methylation_cg18881778,0.0,0.0
Methylation_cg07145664,0.0,0.0
Gene_BNC2,0.0,0.0
Gene_FBXL7,0.0,0.0
Gene_BICC1,0.0,0.0
Gene_DPYSL3,0.0,0.0
Gene_PDE1A,0.0,0.0
Gene_EFEMP1,0.0,0.0
Gene_ANGPTL1,0.0,0.0
Gene_AKT3,0.0,0.0
Gene_CASQ2,0.0,0.0
Gene_CNRIP1,0.0,0.0
Gene_PLXDC2,0.0,0.0
Gene_ENOX1,0.0,0.0
Gene_GLT8D2,0.0,0.0
Gene_TSHZ3,0.0,0.0
Gene_KCNJ8,0.0,0.0
Gene_CPXM2,0.0,0.0
Gene_CALD1,0.0,0.0
Gene_PTGIS,0.0,0.0
Gene_FXYD6,0.0,0.0
Gene_TMEM35A,0.0,0.0
Gene_FOXP2,0.0,0.0
Gene_ISLR,0.0,0.0
Gene_CNN1,0.0,0.0
Gene_LRCH2,0.0,0.0
Gene_AOC3,0.0,0.0
Gene_SERPINF1,0.0,0.0
Gene_BHMT2,0.0,0.0
Gene_DCLK1,0.0,0.0
Gene_MYH11,0.0,0.0
Gene_TSPAN2,0.0,0.0
Gene_RERG,0.0,0.0
Gene_SCN7A,0.0,0.0
Gene_GYPC,0.0,0.0
Gene_THBS4,0.0,0.0
Gene_NRXN2,0.0,0.0
Gene_SOD3,0.0,0.0
Gene_CPE,0.0,0.0
Gene_DCN,0.0,0.0
Gene_ATP1A2,0.0,0.0
Gene_LTBP1,0.0,0.0
Gene_CHRDL2,0.0,0.0
Gene_GUCY1B1,0.0,0.0
Gene_NGFR,0.0,0.0
