Feature,Importance,Percentage
Methylation_cg07380095,0.03758044,3.7580442
Methylation_cg02856716,0.019849425,1.9849426
Methylation_cg03318904,0.016669406,1.6669406
Methylation_cg21880476,0.013722041,1.3722041
Methylation_cg01341751,0.012385472,1.2385472
Methylation_cg04614923,0.009321502,0.93215024
Methylation_cg08847775,0.007874048,0.78740484
Methylation_cg08147181,0.0076803137,0.76803136
Methylation_cg11366178,0.00737302,0.737302
Methylation_cg08131309,0.0072538853,0.7253885
Methylation_cg18921306,0.006802638,0.6802638
Methylation_cg23234674,0.0065290886,0.65290886
Methylation_cg06345789,0.006485637,0.6485637
Methylation_cg16143804,0.006045722,0.6045722
Methylation_cg13599248,0.005636474,0.5636474
Methylation_cg17004025,0.0055970214,0.55970216
Methylation_cg10982443,0.0055194204,0.55194205
Methylation_cg03619586,0.005319152,0.5319152
Methylation_cg13615963,0.004287571,0.42875713
Methylation_cg20244273,0.003697192,0.3697192
Methylation_cg07301329,0.0036878686,0.36878687
Methylation_cg20043649,0.003048623,0.3048623
Methylation_cg05115375,0.002707411,0.2707411
Methylation_cg17998964,0.00097456615,0.09745661
Methylation_cg24699296,0.0,0.0
Methylation_cg10532384,0.0,0.0
Methylation_cg24477401,0.0,0.0
Methylation_cg09852221,0.0,0.0
Methylation_cg06634862,0.0,0.0
Methylation_cg06750897,0.0,0.0
Methylation_cg04255276,0.0,0.0
Methylation_cg08543028,0.0,0.0
Methylation_cg21450888,0.0,0.0
Methylation_cg01007345,0.0,0.0
Methylation_cg12787209,0.0,0.0
Methylation_cg19706390,0.0,0.0
Methylation_cg19599407,0.0,0.0
Methylation_cg25212131,0.0,0.0
Methylation_cg16166559,0.0,0.0
Methylation_cg03713668,0.0,0.0
Methylation_cg24171453,0.0,0.0
Methylation_cg13977486,0.0,0.0
Methylation_cg25719851,0.0,0.0
Methylation_cg04723343,0.0,0.0
Methylation_cg08584759,0.0,0.0
Methylation_cg22500132,0.0,0.0
Methylation_cg05656364,0.0,0.0
Methylation_cg16653138,0.0,0.0
Methylation_cg13991834,0.0,0.0
Methylation_cg18586277,0.0,0.0
Methylation_cg22880770,0.0,0.0
Methylation_cg05233946,0.0,0.0
Methylation_cg17147526,0.0,0.0
Methylation_cg06720467,0.0,0.0
Methylation_cg08107308,0.0,0.0
Methylation_cg01994290,0.0,0.0
Methylation_cg14036402,0.0,0.0
Methylation_cg26938118,0.0,0.0
Methylation_cg00222472,0.0,0.0
Methylation_cg24300607,0.0,0.0
Methylation_cg16438182,0.0,0.0
Methylation_cg19530831,0.0,0.0
Methylation_cg20170271,0.0,0.0
Methylation_cg17033166,0.0,0.0
Methylation_cg11613559,0.0,0.0
Methylation_cg05486094,0.0,0.0
Methylation_cg01783679,0.0,0.0
Methylation_cg12593515,0.0,0.0
Methylation_cg06333800,0.0,0.0
Methylation_cg01734062,0.0,0.0
Methylation_cg19130973,0.0,0.0
Methylation_cg01877606,0.0,0.0
Methylation_cg01855070,0.0,0.0
Methylation_cg03339668,0.0,0.0
Methylation_cg07891533,0.0,0.0
Methylation_cg13695933,0.0,0.0
Methylation_cg11962640,0.0,0.0
Methylation_cg06215107,0.0,0.0
Methylation_cg15602512,0.0,0.0
Methylation_cg23213217,0.0,0.0
Methylation_cg09347959,0.0,0.0
Methylation_cg24579224,0.0,0.0
Methylation_cg15825304,0.0,0.0
Methylation_cg05223396,0.0,0.0
Methylation_cg24899545,0.0,0.0
Methylation_cg12517027,0.0,0.0
Methylation_cg02764093,0.0,0.0
Methylation_cg04792034,0.0,0.0
Methylation_cg15602548,0.0,0.0
Methylation_cg17454592,0.0,0.0
Methylation_cg19635505,0.0,0.0
Methylation_cg00143527,0.0,0.0
Methylation_cg01488159,0.0,0.0
Methylation_cg08018825,0.0,0.0
Methylation_cg03018679,0.0,0.0
Methylation_cg25858249,0.0,0.0
Methylation_cg18899777,0.0,0.0
Methylation_cg18881778,0.0,0.0
Methylation_cg07145664,0.0,0.0
Methylation_cg16241867,0.0,0.0
